ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-330_H-UNITS_2016-01-15_R_T3,10,1/15/2016,10:18:38 AM,42.8391,13.8460,19.1503,90
AR-330_H-UNITS_2016-01-15_R_T3,11,1/15/2016,10:18:39 AM,42.9101,13.8460,19.1986,
AR-330_H-UNITS_2016-01-15_R_T3,12,1/15/2016,10:18:40 AM,42.9367,13.8460,19.2167,
AR-330_H-UNITS_2016-01-15_R_T3,13,1/15/2016,10:18:41 AM,42.9677,13.8460,19.2378,
AR-330_H-UNITS_2016-01-15_R_T3,14,1/15/2016,10:18:42 AM,43.0298,13.8460,19.2800,
AR-330_H-UNITS_2016-01-15_R_T3,15,1/15/2016,10:18:43 AM,43.0608,13.8460,19.3011,
AR-330_H-UNITS_2016-01-15_R_T3,16,1/15/2016,10:18:44 AM,43.0121,13.8460,19.2680,
AR-330_H-UNITS_2016-01-15_R_T3,17,1/15/2016,10:18:45 AM,42.9766,13.8460,19.2438,
AR-330_H-UNITS_2016-01-15_R_T3,18,1/15/2016,10:18:46 AM,42.8259,13.8460,19.1413,
AR-330_H-UNITS_2016-01-15_R_T3,19,1/15/2016,10:18:47 AM,42.6707,13.8460,19.0357,
AR-330_H-UNITS_2016-01-15_R_T3,20,1/15/2016,10:18:48 AM,42.5864,13.8460,18.9783,
AR-330_H-UNITS_2016-01-15_R_T3,21,1/15/2016,10:18:49 AM,42.5686,13.8460,18.9662,
AR-330_H-UNITS_2016-01-15_R_T3,22,1/15/2016,10:18:50 AM,42.6795,13.8460,19.0417,
AR-330_H-UNITS_2016-01-15_R_T3,23,1/15/2016,10:18:51 AM,42.7549,13.8460,19.0930,
AR-330_H-UNITS_2016-01-15_R_T3,24,1/15/2016,10:18:52 AM,42.9190,13.8460,19.2046,
AR-330_H-UNITS_2016-01-15_R_T3,25,1/15/2016,10:18:53 AM,43.0742,13.8460,19.3103,
AR-330_H-UNITS_2016-01-15_R_T3,26,1/15/2016,10:18:54 AM,43.1584,13.8460,19.3675,
AR-330_H-UNITS_2016-01-15_R_T3,27,1/15/2016,10:18:55 AM,43.1363,13.8460,19.3525,
AR-330_H-UNITS_2016-01-15_R_T3,28,1/15/2016,10:18:56 AM,43.0608,13.8460,19.3011,
AR-330_H-UNITS_2016-01-15_R_T3,29,1/15/2016,10:18:57 AM,42.9412,13.8460,19.2198,
AR-330_H-UNITS_2016-01-15_R_T3,30,1/15/2016,10:18:58 AM,42.8259,13.8460,19.1413,
AR-330_H-UNITS_2016-01-15_R_T3,31,1/15/2016,10:18:59 AM,42.7283,13.8460,19.0749,
AR-330_H-UNITS_2016-01-15_R_T3,32,1/15/2016,10:19:00 AM,42.7328,13.8460,19.0779,
AR-330_H-UNITS_2016-01-15_R_T3,33,1/15/2016,10:19:01 AM,42.7106,13.8460,19.0628,85
AR-330_H-UNITS_2016-01-15_R_T3,38,1/15/2016,10:19:06 AM,42.8391,13.8460,19.1503,
AR-330_H-UNITS_2016-01-15_R_T3,39,1/15/2016,10:19:07 AM,42.9899,13.8460,19.2529,
AR-330_H-UNITS_2016-01-15_R_T3,40,1/15/2016,10:19:08 AM,43.0209,13.8460,19.2740,
AR-330_H-UNITS_2016-01-15_R_T3,41,1/15/2016,10:19:09 AM,43.0785,13.8460,19.3132,
AR-330_H-UNITS_2016-01-15_R_T3,42,1/15/2016,10:19:10 AM,43.0121,13.8460,19.2680,
AR-330_H-UNITS_2016-01-15_R_T3,43,1/15/2016,10:19:11 AM,42.9322,13.8460,19.2136,
AR-330_H-UNITS_2016-01-15_R_T3,44,1/15/2016,10:19:12 AM,42.8791,13.8460,19.1775,
AR-330_H-UNITS_2016-01-15_R_T3,45,1/15/2016,10:19:13 AM,42.8080,13.8460,19.1291,
AR-330_H-UNITS_2016-01-15_R_T3,46,1/15/2016,10:19:14 AM,42.7149,13.8460,19.0658,
AR-330_H-UNITS_2016-01-15_R_T3,47,1/15/2016,10:19:15 AM,42.7328,13.8460,19.0779,
AR-330_H-UNITS_2016-01-15_R_T3,48,1/15/2016,10:19:16 AM,42.7416,13.8460,19.0839,
AR-330_H-UNITS_2016-01-15_R_T3,49,1/15/2016,10:19:17 AM,42.7681,13.8460,19.1020,
AR-330_H-UNITS_2016-01-15_R_T3,50,1/15/2016,10:19:18 AM,42.8259,13.8460,19.1413,
AR-330_H-UNITS_2016-01-15_R_T3,51,1/15/2016,10:19:19 AM,42.8524,13.8460,19.1593,
AR-330_H-UNITS_2016-01-15_R_T3,52,1/15/2016,10:19:20 AM,42.8879,13.8460,19.1835,
AR-330_H-UNITS_2016-01-15_R_T3,53,1/15/2016,10:19:21 AM,42.9278,13.8460,19.2106,
AR-330_H-UNITS_2016-01-15_R_T3,54,1/15/2016,10:19:22 AM,42.9190,13.8460,19.2046,
AR-330_H-UNITS_2016-01-15_R_T3,55,1/15/2016,10:19:23 AM,42.9101,13.8460,19.1986,
