ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-345_RB1_2015-10-15_R_T1,4,10/15/2015,10:55:37 AM,42.9077,23.9660,19.1970,30
AR-345_RB1_2015-10-15_R_T1,5,10/15/2015,10:55:38 AM,42.8943,23.9660,19.1878,
AR-345_RB1_2015-10-15_R_T1,6,10/15/2015,10:55:39 AM,42.8765,23.9660,19.1757,
AR-345_RB1_2015-10-15_R_T1,7,10/15/2015,10:55:40 AM,42.8810,23.9660,19.1788,
AR-345_RB1_2015-10-15_R_T1,8,10/15/2015,10:55:41 AM,42.8631,23.9660,19.1666,
AR-345_RB1_2015-10-15_R_T1,9,10/15/2015,10:55:42 AM,42.8276,23.9660,19.1425,
AR-345_RB1_2015-10-15_R_T1,10,10/15/2015,10:55:43 AM,42.8143,23.9660,19.1334,
AR-345_RB1_2015-10-15_R_T1,11,10/15/2015,10:55:44 AM,42.8099,23.9660,19.1304,
AR-345_RB1_2015-10-15_R_T1,12,10/15/2015,10:55:45 AM,42.8721,23.9660,19.1727,
AR-345_RB1_2015-10-15_R_T1,13,10/15/2015,10:55:46 AM,42.9210,23.9660,19.2060,
AR-345_RB1_2015-10-15_R_T1,14,10/15/2015,10:55:47 AM,42.9521,23.9660,19.2272,
AR-345_RB1_2015-10-15_R_T1,15,10/15/2015,10:55:48 AM,42.9120,23.9660,19.1999,
AR-345_RB1_2015-10-15_R_T1,16,10/15/2015,10:55:49 AM,42.8099,23.9660,19.1304,
AR-345_RB1_2015-10-15_R_T1,17,10/15/2015,10:55:50 AM,42.7520,23.9660,19.0910,
AR-345_RB1_2015-10-15_R_T1,18,10/15/2015,10:55:51 AM,42.8009,23.9660,19.1243,
AR-345_RB1_2015-10-15_R_T1,19,10/15/2015,10:55:52 AM,42.8898,23.9660,19.1848,
AR-345_RB1_2015-10-15_R_T1,20,10/15/2015,10:55:53 AM,42.9344,23.9660,19.2151,
AR-345_RB1_2015-10-15_R_T1,21,10/15/2015,10:55:54 AM,42.9299,23.9660,19.2121,
AR-345_RB1_2015-10-15_R_T1,22,10/15/2015,10:55:55 AM,42.8721,23.9660,19.1727,
AR-345_RB1_2015-10-15_R_T1,23,10/15/2015,10:55:56 AM,42.8143,23.9660,19.1334,
AR-345_RB1_2015-10-15_R_T1,24,10/15/2015,10:55:57 AM,42.7744,23.9660,19.1063,
AR-345_RB1_2015-10-15_R_T1,25,10/15/2015,10:55:58 AM,42.7966,23.9660,19.1214,
AR-345_RB1_2015-10-15_R_T1,26,10/15/2015,10:55:59 AM,42.8366,23.9660,19.1486,25
AR-345_RB1_2015-10-15_R_T1,33,10/15/2015,10:56:06 AM,42.8276,23.9660,19.1425,
AR-345_RB1_2015-10-15_R_T1,34,10/15/2015,10:56:07 AM,42.8099,23.9660,19.1304,
AR-345_RB1_2015-10-15_R_T1,35,10/15/2015,10:56:08 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T1,36,10/15/2015,10:56:09 AM,42.8631,23.9660,19.1666,
AR-345_RB1_2015-10-15_R_T1,37,10/15/2015,10:56:10 AM,42.9210,23.9660,19.2060,
AR-345_RB1_2015-10-15_R_T1,38,10/15/2015,10:56:11 AM,42.9521,23.9660,19.2272,
AR-345_RB1_2015-10-15_R_T1,39,10/15/2015,10:56:12 AM,42.9566,23.9660,19.2302,
AR-345_RB1_2015-10-15_R_T1,40,10/15/2015,10:56:13 AM,42.9077,23.9660,19.1970,
AR-345_RB1_2015-10-15_R_T1,41,10/15/2015,10:56:14 AM,42.8898,23.9660,19.1848,
AR-345_RB1_2015-10-15_R_T1,42,10/15/2015,10:56:15 AM,42.9032,23.9660,19.1939,
AR-345_RB1_2015-10-15_R_T1,43,10/15/2015,10:56:16 AM,42.8943,23.9660,19.1878,
AR-345_RB1_2015-10-15_R_T1,44,10/15/2015,10:56:17 AM,42.8988,23.9660,19.1909,
AR-345_RB1_2015-10-15_R_T1,45,10/15/2015,10:56:18 AM,42.8855,23.9660,19.1818,
AR-345_RB1_2015-10-15_R_T1,46,10/15/2015,10:56:19 AM,42.9344,23.9660,19.2151,
AR-345_RB1_2015-10-15_R_T1,47,10/15/2015,10:56:20 AM,42.9477,23.9660,19.2242,
AR-345_RB1_2015-10-15_R_T1,48,10/15/2015,10:56:21 AM,42.9521,23.9660,19.2272,
AR-345_RB1_2015-10-15_R_T1,49,10/15/2015,10:56:22 AM,42.9521,23.9660,19.2272,
AR-345_RB1_2015-10-15_R_T1,50,10/15/2015,10:56:23 AM,42.9165,23.9660,19.2029,
AR-345_RB1_2015-10-15_R_T1,51,10/15/2015,10:56:24 AM,42.9077,23.9660,19.1970,
AR-345_RB1_2015-10-15_R_T1,52,10/15/2015,10:56:25 AM,42.8721,23.9660,19.1727,
AR-345_RB1_2015-10-15_R_T1,53,10/15/2015,10:56:26 AM,42.8588,23.9660,19.1637,
AR-345_RB1_2015-10-15_R_T1,54,10/15/2015,10:56:27 AM,42.8765,23.9660,19.1757,
AR-345_RB1_2015-10-15_R_T1,55,10/15/2015,10:56:28 AM,42.8765,23.9660,19.1757,
AR-345_RB1_2015-10-15_R_T1,56,10/15/2015,10:56:29 AM,42.8943,23.9660,19.1878,
AR-345_RB1_2015-10-15_R_T1,57,10/15/2015,10:56:30 AM,42.8855,23.9660,19.1818,20
AR-345_RB1_2015-10-15_R_T1,63,10/15/2015,10:56:36 AM,42.8988,23.9660,19.1909,
AR-345_RB1_2015-10-15_R_T1,64,10/15/2015,10:56:37 AM,42.9032,23.9660,19.1939,
AR-345_RB1_2015-10-15_R_T1,65,10/15/2015,10:56:38 AM,42.8676,23.9660,19.1697,
AR-345_RB1_2015-10-15_R_T1,66,10/15/2015,10:56:39 AM,42.8276,23.9660,19.1425,
AR-345_RB1_2015-10-15_R_T1,67,10/15/2015,10:56:40 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T1,68,10/15/2015,10:56:41 AM,42.8765,23.9660,19.1757,
AR-345_RB1_2015-10-15_R_T1,69,10/15/2015,10:56:42 AM,42.9699,23.9660,19.2393,
AR-345_RB1_2015-10-15_R_T1,70,10/15/2015,10:56:43 AM,43.0054,23.9660,19.2634,
AR-345_RB1_2015-10-15_R_T1,71,10/15/2015,10:56:44 AM,43.0188,23.9660,19.2726,
AR-345_RB1_2015-10-15_R_T1,72,10/15/2015,10:56:45 AM,42.9654,23.9660,19.2362,
AR-345_RB1_2015-10-15_R_T1,73,10/15/2015,10:56:46 AM,42.8810,23.9660,19.1788,
AR-345_RB1_2015-10-15_R_T1,74,10/15/2015,10:56:47 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T1,75,10/15/2015,10:56:48 AM,42.8631,23.9660,19.1666,
AR-345_RB1_2015-10-15_R_T1,76,10/15/2015,10:56:49 AM,42.9299,23.9660,19.2121,
AR-345_RB1_2015-10-15_R_T1,77,10/15/2015,10:56:50 AM,42.9787,23.9660,19.2453,
AR-345_RB1_2015-10-15_R_T1,78,10/15/2015,10:56:51 AM,42.9787,23.9660,19.2453,
AR-345_RB1_2015-10-15_R_T1,79,10/15/2015,10:56:52 AM,42.9387,23.9660,19.2180,
AR-345_RB1_2015-10-15_R_T1,80,10/15/2015,10:56:53 AM,42.9077,23.9660,19.1970,
AR-345_RB1_2015-10-15_R_T1,81,10/15/2015,10:56:54 AM,42.9032,23.9660,19.1939,
AR-345_RB1_2015-10-15_R_T1,82,10/15/2015,10:56:55 AM,42.9787,23.9660,19.2453,
AR-345_RB1_2015-10-15_R_T1,83,10/15/2015,10:56:56 AM,43.0188,23.9660,19.2726,
AR-345_RB1_2015-10-15_R_T1,84,10/15/2015,10:56:57 AM,43.0188,23.9660,19.2726,
AR-345_RB1_2015-10-15_R_T1,85,10/15/2015,10:56:58 AM,42.9921,23.9660,19.2544,
AR-345_RB1_2015-10-15_R_T1,86,10/15/2015,10:56:59 AM,42.9432,23.9660,19.2211,
AR-345_RB1_2015-10-15_R_T1,87,10/15/2015,10:57:00 AM,42.9610,23.9660,19.2332,15
AR-345_RB1_2015-10-15_R_T1,94,10/15/2015,10:57:07 AM,42.9344,23.9660,19.2151,
AR-345_RB1_2015-10-15_R_T1,95,10/15/2015,10:57:08 AM,43.0231,23.9660,19.2755,
AR-345_RB1_2015-10-15_R_T1,96,10/15/2015,10:57:09 AM,43.0410,23.9660,19.2877,
AR-345_RB1_2015-10-15_R_T1,97,10/15/2015,10:57:10 AM,43.0188,23.9660,19.2726,
AR-345_RB1_2015-10-15_R_T1,98,10/15/2015,10:57:11 AM,43.0054,23.9660,19.2634,
AR-345_RB1_2015-10-15_R_T1,99,10/15/2015,10:57:12 AM,43.0276,23.9660,19.2785,
AR-345_RB1_2015-10-15_R_T1,100,10/15/2015,10:57:13 AM,43.0588,23.9660,19.2998,
AR-345_RB1_2015-10-15_R_T1,101,10/15/2015,10:57:14 AM,43.0543,23.9660,19.2967,
AR-345_RB1_2015-10-15_R_T1,102,10/15/2015,10:57:15 AM,43.0276,23.9660,19.2785,
AR-345_RB1_2015-10-15_R_T1,103,10/15/2015,10:57:16 AM,42.9742,23.9660,19.2422,
AR-345_RB1_2015-10-15_R_T1,104,10/15/2015,10:57:17 AM,42.9966,23.9660,19.2574,
AR-345_RB1_2015-10-15_R_T1,105,10/15/2015,10:57:18 AM,43.0099,23.9660,19.2665,
AR-345_RB1_2015-10-15_R_T1,106,10/15/2015,10:57:19 AM,43.0543,23.9660,19.2967,
AR-345_RB1_2015-10-15_R_T1,107,10/15/2015,10:57:20 AM,43.0853,23.9660,19.3178,
AR-345_RB1_2015-10-15_R_T1,108,10/15/2015,10:57:21 AM,43.0765,23.9660,19.3118,
AR-345_RB1_2015-10-15_R_T1,109,10/15/2015,10:57:22 AM,43.0498,23.9660,19.2936,
AR-345_RB1_2015-10-15_R_T1,110,10/15/2015,10:57:23 AM,43.0054,23.9660,19.2634,
AR-345_RB1_2015-10-15_R_T1,111,10/15/2015,10:57:24 AM,43.0231,23.9660,19.2755,
AR-345_RB1_2015-10-15_R_T1,112,10/15/2015,10:57:25 AM,43.0365,23.9660,19.2846,
AR-345_RB1_2015-10-15_R_T1,113,10/15/2015,10:57:26 AM,43.0588,23.9660,19.2998,
