ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-345_TITAN_2015-10-15_R_T2,1,10/15/2015,9:13:53 AM,43.0054,23.966,19.26343653,60
AR-345_TITAN_2015-10-15_R_T2,2,10/15/2015,9:13:54 AM,43.0231,23.966,19.27548066,
AR-345_TITAN_2015-10-15_R_T2,3,10/15/2015,9:13:55 AM,43.0543,23.966,19.296711,
AR-345_TITAN_2015-10-15_R_T2,4,10/15/2015,9:13:56 AM,43.081,23.966,19.31487927,
AR-345_TITAN_2015-10-15_R_T2,5,10/15/2015,9:13:57 AM,43.0943,23.966,19.32392938,
AR-345_TITAN_2015-10-15_R_T2,6,10/15/2015,9:13:58 AM,43.081,23.966,19.31487927,
AR-345_TITAN_2015-10-15_R_T2,7,10/15/2015,9:13:59 AM,43.0054,23.966,19.26343653,
AR-345_TITAN_2015-10-15_R_T2,8,10/15/2015,9:14:00 AM,42.9521,23.966,19.22716803,
AR-345_TITAN_2015-10-15_R_T2,9,10/15/2015,9:14:01 AM,42.9832,23.966,19.24833032,
AR-345_TITAN_2015-10-15_R_T2,10,10/15/2015,9:14:02 AM,42.9832,23.966,19.24833032,
AR-345_TITAN_2015-10-15_R_T2,11,10/15/2015,9:14:03 AM,43.0231,23.966,19.27548066,
AR-345_TITAN_2015-10-15_R_T2,12,10/15/2015,9:14:04 AM,43.0188,23.966,19.27255468,
AR-345_TITAN_2015-10-15_R_T2,13,10/15/2015,9:14:05 AM,43.0276,23.966,19.27854273,
AR-345_TITAN_2015-10-15_R_T2,14,10/15/2015,9:14:06 AM,42.9254,23.966,19.20899976,
AR-345_TITAN_2015-10-15_R_T2,15,10/15/2015,9:14:07 AM,42.8765,23.966,19.17572528,
AR-345_TITAN_2015-10-15_R_T2,16,10/15/2015,9:14:08 AM,42.7966,23.966,19.12135656,
AR-345_TITAN_2015-10-15_R_T2,17,10/15/2015,9:14:09 AM,42.7654,23.966,19.10012623,
