ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-364_DOMES_2015-12-10_R_T1,10,12/10/2015,12:43:00 PM,32.6606,16.0460,12.2242,30
AR-364_DOMES_2015-12-10_R_T1,11,12/10/2015,12:43:01 PM,32.8033,16.0460,12.3213,
AR-364_DOMES_2015-12-10_R_T1,12,12/10/2015,12:43:02 PM,32.7053,16.0460,12.2546,
AR-364_DOMES_2015-12-10_R_T1,13,12/10/2015,12:43:03 PM,32.6294,16.0460,12.2030,
AR-364_DOMES_2015-12-10_R_T1,14,12/10/2015,12:43:04 PM,32.5982,16.0460,12.1818,
AR-364_DOMES_2015-12-10_R_T1,15,12/10/2015,12:43:05 PM,32.5894,16.0460,12.1758,
AR-364_DOMES_2015-12-10_R_T1,16,12/10/2015,12:43:06 PM,32.6339,16.0460,12.2060,
AR-364_DOMES_2015-12-10_R_T1,17,12/10/2015,12:43:07 PM,32.7231,16.0460,12.2667,
AR-364_DOMES_2015-12-10_R_T1,18,12/10/2015,12:43:08 PM,32.8300,16.0460,12.3395,
AR-364_DOMES_2015-12-10_R_T1,19,12/10/2015,12:43:09 PM,32.9994,16.0460,12.4548,
AR-364_DOMES_2015-12-10_R_T1,20,12/10/2015,12:43:10 PM,33.0395,16.0460,12.4820,
AR-364_DOMES_2015-12-10_R_T1,21,12/10/2015,12:43:11 PM,32.9726,16.0460,12.4365,
AR-364_DOMES_2015-12-10_R_T1,22,12/10/2015,12:43:12 PM,32.7810,16.0460,12.3061,
AR-364_DOMES_2015-12-10_R_T1,23,12/10/2015,12:43:13 PM,32.6918,16.0460,12.2454,
AR-364_DOMES_2015-12-10_R_T1,24,12/10/2015,12:43:14 PM,32.6696,16.0460,12.2303,
AR-364_DOMES_2015-12-10_R_T1,25,12/10/2015,12:43:15 PM,32.6696,16.0460,12.2303,
AR-364_DOMES_2015-12-10_R_T1,26,12/10/2015,12:43:16 PM,32.6563,16.0460,12.2213,
AR-364_DOMES_2015-12-10_R_T1,27,12/10/2015,12:43:17 PM,32.7275,16.0460,12.2697,
AR-364_DOMES_2015-12-10_R_T1,28,12/10/2015,12:43:18 PM,32.7988,16.0460,12.3183,
AR-364_DOMES_2015-12-10_R_T1,29,12/10/2015,12:43:19 PM,32.8745,16.0460,12.3698,
AR-364_DOMES_2015-12-10_R_T1,30,12/10/2015,12:43:20 PM,32.8835,16.0460,12.3759,
AR-364_DOMES_2015-12-10_R_T1,31,12/10/2015,12:43:21 PM,32.8524,16.0460,12.3547,
AR-364_DOMES_2015-12-10_R_T1,32,12/10/2015,12:43:22 PM,32.8077,16.0460,12.3243,
AR-364_DOMES_2015-12-10_R_T1,33,12/10/2015,12:43:23 PM,32.7365,16.0460,12.2759,
AR-364_DOMES_2015-12-10_R_T1,34,12/10/2015,12:43:24 PM,32.7275,16.0460,12.2697,
AR-364_DOMES_2015-12-10_R_T1,35,12/10/2015,12:43:25 PM,32.7810,16.0460,12.3061,
AR-364_DOMES_2015-12-10_R_T1,36,12/10/2015,12:43:26 PM,32.8612,16.0460,12.3607,
AR-364_DOMES_2015-12-10_R_T1,37,12/10/2015,12:43:27 PM,32.9326,16.0460,12.4093,
AR-364_DOMES_2015-12-10_R_T1,38,12/10/2015,12:43:28 PM,32.9904,16.0460,12.4486,
AR-364_DOMES_2015-12-10_R_T1,39,12/10/2015,12:43:29 PM,32.9459,16.0460,12.4184,
AR-364_DOMES_2015-12-10_R_T1,40,12/10/2015,12:43:30 PM,32.7677,16.0460,12.2971,25
AR-364_DOMES_2015-12-10_R_T1,46,12/10/2015,12:43:36 PM,32.7988,16.0460,12.3183,
AR-364_DOMES_2015-12-10_R_T1,47,12/10/2015,12:43:37 PM,33.0083,16.0460,12.4608,
AR-364_DOMES_2015-12-10_R_T1,48,12/10/2015,12:43:38 PM,32.9904,16.0460,12.4486,
AR-364_DOMES_2015-12-10_R_T1,49,12/10/2015,12:43:39 PM,32.7765,16.0460,12.3031,
AR-364_DOMES_2015-12-10_R_T1,50,12/10/2015,12:43:40 PM,32.5314,16.0460,12.1363,
AR-364_DOMES_2015-12-10_R_T1,51,12/10/2015,12:43:41 PM,32.4022,16.0460,12.0484,
AR-364_DOMES_2015-12-10_R_T1,52,12/10/2015,12:43:42 PM,32.4155,16.0460,12.0574,
AR-364_DOMES_2015-12-10_R_T1,53,12/10/2015,12:43:43 PM,32.5671,16.0460,12.1606,
AR-364_DOMES_2015-12-10_R_T1,54,12/10/2015,12:43:44 PM,32.8524,16.0460,12.3547,
AR-364_DOMES_2015-12-10_R_T1,55,12/10/2015,12:43:45 PM,33.0439,16.0460,12.4850,
AR-364_DOMES_2015-12-10_R_T1,56,12/10/2015,12:43:46 PM,33.1420,16.0460,12.5518,
AR-364_DOMES_2015-12-10_R_T1,57,12/10/2015,12:43:47 PM,33.0528,16.0460,12.4911,
AR-364_DOMES_2015-12-10_R_T1,58,12/10/2015,12:43:48 PM,32.8612,16.0460,12.3607,
AR-364_DOMES_2015-12-10_R_T1,59,12/10/2015,12:43:49 PM,32.6473,16.0460,12.2152,
AR-364_DOMES_2015-12-10_R_T1,60,12/10/2015,12:43:50 PM,32.5090,16.0460,12.1211,
AR-364_DOMES_2015-12-10_R_T1,61,12/10/2015,12:43:51 PM,32.4735,16.0460,12.0969,
AR-364_DOMES_2015-12-10_R_T1,62,12/10/2015,12:43:52 PM,32.5090,16.0460,12.1211,
AR-364_DOMES_2015-12-10_R_T1,63,12/10/2015,12:43:53 PM,32.6339,16.0460,12.2060,
AR-364_DOMES_2015-12-10_R_T1,64,12/10/2015,12:43:54 PM,32.8612,16.0460,12.3607,
AR-364_DOMES_2015-12-10_R_T1,65,12/10/2015,12:43:55 PM,33.0484,16.0460,12.4881,
AR-364_DOMES_2015-12-10_R_T1,66,12/10/2015,12:43:56 PM,33.1553,16.0460,12.5608,
AR-364_DOMES_2015-12-10_R_T1,67,12/10/2015,12:43:57 PM,33.0975,16.0460,12.5215,
AR-364_DOMES_2015-12-10_R_T1,68,12/10/2015,12:43:58 PM,32.9326,16.0460,12.4093,
AR-364_DOMES_2015-12-10_R_T1,69,12/10/2015,12:43:59 PM,32.7632,16.0460,12.2940,
AR-364_DOMES_2015-12-10_R_T1,70,12/10/2015,12:44:00 PM,32.6251,16.0460,12.2001,
AR-364_DOMES_2015-12-10_R_T1,71,12/10/2015,12:44:01 PM,32.5938,16.0460,12.1788,
AR-364_DOMES_2015-12-10_R_T1,72,12/10/2015,12:44:02 PM,32.6785,16.0460,12.2364,
AR-364_DOMES_2015-12-10_R_T1,73,12/10/2015,12:44:03 PM,32.8479,16.0460,12.3517,
AR-364_DOMES_2015-12-10_R_T1,74,12/10/2015,12:44:04 PM,32.9371,16.0460,12.4124,
AR-364_DOMES_2015-12-10_R_T1,75,12/10/2015,12:44:05 PM,32.8657,16.0460,12.3638,
AR-364_DOMES_2015-12-10_R_T1,76,12/10/2015,12:44:06 PM,32.8434,16.0460,12.3486,
AR-364_DOMES_2015-12-10_R_T1,77,12/10/2015,12:44:07 PM,32.7900,16.0460,12.3123,20
