ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-364_TUGBOAT_2015-12-10_R_T2,6,12/10/2015,3:01:07 PM,34.1632,16.141,13.24667681,60
AR-364_TUGBOAT_2015-12-10_R_T2,7,12/10/2015,3:01:08 PM,34.1854,16.141,13.26178301,
AR-364_TUGBOAT_2015-12-10_R_T2,8,12/10/2015,3:01:09 PM,34.2344,16.141,13.29512553,
AR-364_TUGBOAT_2015-12-10_R_T2,9,12/10/2015,3:01:10 PM,34.2923,16.141,13.33452414,
AR-364_TUGBOAT_2015-12-10_R_T2,10,12/10/2015,3:01:11 PM,34.3413,16.141,13.36786666,
AR-364_TUGBOAT_2015-12-10_R_T2,11,12/10/2015,3:01:12 PM,34.3368,16.141,13.36480459,
AR-364_TUGBOAT_2015-12-10_R_T2,12,12/10/2015,3:01:13 PM,34.3191,16.141,13.35276045,
AR-364_TUGBOAT_2015-12-10_R_T2,13,12/10/2015,3:01:14 PM,34.2834,16.141,13.32846805,
AR-364_TUGBOAT_2015-12-10_R_T2,14,12/10/2015,3:01:15 PM,34.2789,16.141,13.32540598,
AR-364_TUGBOAT_2015-12-10_R_T2,15,12/10/2015,3:01:16 PM,34.2968,16.141,13.33758621,
AR-364_TUGBOAT_2015-12-10_R_T2,16,12/10/2015,3:01:17 PM,34.2923,16.141,13.33452414,
AR-364_TUGBOAT_2015-12-10_R_T2,17,12/10/2015,3:01:18 PM,34.2656,16.141,13.31635587,
AR-364_TUGBOAT_2015-12-10_R_T2,18,12/10/2015,3:01:19 PM,34.2434,16.141,13.30124966,
AR-364_TUGBOAT_2015-12-10_R_T2,19,12/10/2015,3:01:20 PM,34.1365,16.141,13.22850853,
AR-364_TUGBOAT_2015-12-10_R_T2,20,12/10/2015,3:01:21 PM,34.0875,16.141,13.19516602,
AR-364_TUGBOAT_2015-12-10_R_T2,21,12/10/2015,3:01:22 PM,34.2122,16.141,13.28001933,
AR-364_TUGBOAT_2015-12-10_R_T2,6,12/10/2015,3:01:28 PM,34.1632,16.141,13.24667681,55
AR-364_TUGBOAT_2015-12-10_R_T2,7,12/10/2015,3:01:29 PM,34.181,16.141,13.25878899,
AR-364_TUGBOAT_2015-12-10_R_T2,8,12/10/2015,3:01:30 PM,34.2256,16.141,13.28913748,
AR-364_TUGBOAT_2015-12-10_R_T2,9,12/10/2015,3:01:31 PM,34.2523,16.141,13.30730575,
AR-364_TUGBOAT_2015-12-10_R_T2,10,12/10/2015,3:01:32 PM,34.2611,16.141,13.3132938,
AR-364_TUGBOAT_2015-12-10_R_T2,11,12/10/2015,3:01:33 PM,34.2478,16.141,13.30424369,
AR-364_TUGBOAT_2015-12-10_R_T2,12,12/10/2015,3:01:34 PM,34.2656,16.141,13.31635587,
AR-364_TUGBOAT_2015-12-10_R_T2,13,12/10/2015,3:01:35 PM,34.3146,16.141,13.34969839,
AR-364_TUGBOAT_2015-12-10_R_T2,14,12/10/2015,3:01:36 PM,34.4304,16.141,13.42849561,
AR-364_TUGBOAT_2015-12-10_R_T2,15,12/10/2015,3:01:37 PM,34.417,16.141,13.41937745,
AR-364_TUGBOAT_2015-12-10_R_T2,16,12/10/2015,3:01:38 PM,34.3503,16.141,13.37399079,
AR-364_TUGBOAT_2015-12-10_R_T2,17,12/10/2015,3:01:39 PM,34.3325,16.141,13.36187861,
AR-364_TUGBOAT_2015-12-10_R_T2,18,12/10/2015,3:01:40 PM,34.2256,16.141,13.28913748,
AR-364_TUGBOAT_2015-12-10_R_T2,19,12/10/2015,3:01:41 PM,34.1721,16.141,13.2527329,
AR-364_TUGBOAT_2015-12-10_R_T2,20,12/10/2015,3:01:42 PM,34.2122,16.141,13.28001933,
AR-364_TUGBOAT_2015-12-10_R_T2,21,12/10/2015,3:01:43 PM,34.2211,16.141,13.28607542,
AR-364_TUGBOAT_2015-12-10_R_T2,22,12/10/2015,3:01:44 PM,34.2656,16.141,13.31635587,
AR-364_TUGBOAT_2015-12-10_R_T2,23,12/10/2015,3:01:45 PM,34.3325,16.141,13.36187861,50
AR-364_TUGBOAT_2015-12-10_R_T2,28,12/10/2015,3:01:50 PM,34.181,16.141,13.25878899,
AR-364_TUGBOAT_2015-12-10_R_T2,29,12/10/2015,3:01:51 PM,34.2077,16.141,13.27695726,
AR-364_TUGBOAT_2015-12-10_R_T2,30,12/10/2015,3:01:52 PM,34.3013,16.141,13.34064827,
AR-364_TUGBOAT_2015-12-10_R_T2,31,12/10/2015,3:01:53 PM,34.3101,16.141,13.34663632,
AR-364_TUGBOAT_2015-12-10_R_T2,32,12/10/2015,3:01:54 PM,34.2656,16.141,13.31635587,
AR-364_TUGBOAT_2015-12-10_R_T2,33,12/10/2015,3:01:55 PM,34.2256,16.141,13.28913748,
AR-364_TUGBOAT_2015-12-10_R_T2,34,12/10/2015,3:01:56 PM,34.2077,16.141,13.27695726,
AR-364_TUGBOAT_2015-12-10_R_T2,35,12/10/2015,3:01:57 PM,34.2923,16.141,13.33452414,
AR-364_TUGBOAT_2015-12-10_R_T2,36,12/10/2015,3:01:58 PM,34.3547,16.141,13.37698482,
AR-364_TUGBOAT_2015-12-10_R_T2,37,12/10/2015,3:01:59 PM,34.4349,16.141,13.43155767,
AR-364_TUGBOAT_2015-12-10_R_T2,38,12/10/2015,3:02:00 PM,34.4749,16.141,13.45877606,
AR-364_TUGBOAT_2015-12-10_R_T2,39,12/10/2015,3:02:01 PM,34.3547,16.141,13.37698482,
AR-364_TUGBOAT_2015-12-10_R_T2,40,12/10/2015,3:02:02 PM,34.2434,16.141,13.30124966,
