ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-370_NR2_2015-09-02_R_T2,11,9/2/2015,2:22:39 PM,37.2731,27.6650,15.3628,60
AR-370_NR2_2015-09-02_R_T2,12,9/2/2015,2:22:40 PM,37.3265,27.6650,15.3992,
AR-370_NR2_2015-09-02_R_T2,13,9/2/2015,2:22:41 PM,37.3667,27.6650,15.4265,
AR-370_NR2_2015-09-02_R_T2,14,9/2/2015,2:22:42 PM,37.3845,27.6650,15.4386,
AR-370_NR2_2015-09-02_R_T2,15,9/2/2015,2:22:43 PM,37.3711,27.6650,15.4295,
AR-370_NR2_2015-09-02_R_T2,16,9/2/2015,2:22:44 PM,37.3533,27.6650,15.4174,
AR-370_NR2_2015-09-02_R_T2,17,9/2/2015,2:22:45 PM,37.3488,27.6650,15.4143,
AR-370_NR2_2015-09-02_R_T2,18,9/2/2015,2:22:46 PM,37.3578,27.6650,15.4205,
AR-370_NR2_2015-09-02_R_T2,19,9/2/2015,2:22:47 PM,37.3756,27.6650,15.4326,
AR-370_NR2_2015-09-02_R_T2,20,9/2/2015,2:22:48 PM,37.3443,27.6650,15.4113,
AR-370_NR2_2015-09-02_R_T2,21,9/2/2015,2:22:49 PM,37.2463,27.6650,15.3446,
AR-370_NR2_2015-09-02_R_T2,22,9/2/2015,2:22:50 PM,37.3400,27.6650,15.4084,
AR-370_NR2_2015-09-02_R_T2,23,9/2/2015,2:22:51 PM,37.3443,27.6650,15.4113,
AR-370_NR2_2015-09-02_R_T2,24,9/2/2015,2:22:52 PM,37.3088,27.6650,15.3871,
AR-370_NR2_2015-09-02_R_T2,25,9/2/2015,2:22:53 PM,37.2909,27.6650,15.3750,
AR-370_NR2_2015-09-02_R_T2,26,9/2/2015,2:22:54 PM,37.2641,27.6650,15.3567,
AR-370_NR2_2015-09-02_R_T2,27,9/2/2015,2:22:55 PM,37.1482,27.6650,15.2778,
AR-370_NR2_2015-09-02_R_T2,28,9/2/2015,2:22:56 PM,36.9922,27.6650,15.1717,
AR-370_NR2_2015-09-02_R_T2,29,9/2/2015,2:22:57 PM,36.9163,27.6650,15.1201,
AR-370_NR2_2015-09-02_R_T2,30,9/2/2015,2:22:58 PM,37.1349,27.6650,15.2688,
AR-370_NR2_2015-09-02_R_T2,31,9/2/2015,2:22:59 PM,37.2686,27.6650,15.3598,
AR-370_NR2_2015-09-02_R_T2,32,9/2/2015,2:23:00 PM,37.3845,27.6650,15.4386,
AR-370_NR2_2015-09-02_R_T2,33,9/2/2015,2:23:01 PM,37.4157,27.6650,15.4599,
AR-370_NR2_2015-09-02_R_T2,34,9/2/2015,2:23:02 PM,37.3711,27.6650,15.4295,
AR-370_NR2_2015-09-02_R_T2,35,9/2/2015,2:23:03 PM,37.2775,27.6650,15.3658,
AR-370_NR2_2015-09-02_R_T2,36,9/2/2015,2:23:04 PM,37.2284,27.6650,15.3324,
AR-370_NR2_2015-09-02_R_T2,37,9/2/2015,2:23:05 PM,37.2508,27.6650,15.3477,
AR-370_NR2_2015-09-02_R_T2,38,9/2/2015,2:23:06 PM,37.3043,27.6650,15.3841,
AR-370_NR2_2015-09-02_R_T2,39,9/2/2015,2:23:07 PM,37.3043,27.6650,15.3841,
AR-370_NR2_2015-09-02_R_T2,40,9/2/2015,2:23:08 PM,37.3088,27.6650,15.3871,
AR-370_NR2_2015-09-02_R_T2,41,9/2/2015,2:23:09 PM,37.2998,27.6650,15.3810,
AR-370_NR2_2015-09-02_R_T2,42,9/2/2015,2:23:10 PM,37.2775,27.6650,15.3658,
AR-370_NR2_2015-09-02_R_T2,43,9/2/2015,2:23:11 PM,37.2998,27.6650,15.3810,
AR-370_NR2_2015-09-02_R_T2,44,9/2/2015,2:23:12 PM,37.3221,27.6650,15.3962,
AR-370_NR2_2015-09-02_R_T2,45,9/2/2015,2:23:13 PM,37.3667,27.6650,15.4265,
AR-370_NR2_2015-09-02_R_T2,46,9/2/2015,2:23:14 PM,37.3400,27.6650,15.4084,
AR-370_NR2_2015-09-02_R_T2,47,9/2/2015,2:23:15 PM,37.2909,27.6650,15.3750,
AR-370_NR2_2015-09-02_R_T2,48,9/2/2015,2:23:16 PM,37.2596,27.6650,15.3537,
AR-370_NR2_2015-09-02_R_T2,49,9/2/2015,2:23:17 PM,37.2329,27.6650,15.3355,
AR-370_NR2_2015-09-02_R_T2,50,9/2/2015,2:23:18 PM,37.2374,27.6650,15.3385,
AR-370_NR2_2015-09-02_R_T2,51,9/2/2015,2:23:19 PM,37.2239,27.6650,15.3294,55
AR-370_NR2_2015-09-02_R_T2,57,9/2/2015,2:23:25 PM,37.2151,27.6650,15.3234,
AR-370_NR2_2015-09-02_R_T2,58,9/2/2015,2:23:26 PM,37.2553,27.6650,15.3507,
AR-370_NR2_2015-09-02_R_T2,59,9/2/2015,2:23:27 PM,37.3310,27.6650,15.4022,
AR-370_NR2_2015-09-02_R_T2,60,9/2/2015,2:23:28 PM,37.3756,27.6650,15.4326,
AR-370_NR2_2015-09-02_R_T2,61,9/2/2015,2:23:29 PM,37.4113,27.6650,15.4569,
AR-370_NR2_2015-09-02_R_T2,62,9/2/2015,2:23:30 PM,37.3400,27.6650,15.4084,
AR-370_NR2_2015-09-02_R_T2,63,9/2/2015,2:23:31 PM,37.2953,27.6650,15.3779,
AR-370_NR2_2015-09-02_R_T2,64,9/2/2015,2:23:32 PM,37.2196,27.6650,15.3264,
AR-370_NR2_2015-09-02_R_T2,65,9/2/2015,2:23:33 PM,37.1883,27.6650,15.3051,
AR-370_NR2_2015-09-02_R_T2,66,9/2/2015,2:23:34 PM,36.9341,27.6650,15.1322,
AR-370_NR2_2015-09-02_R_T2,67,9/2/2015,2:23:35 PM,37.2196,27.6650,15.3264,
AR-370_NR2_2015-09-02_R_T2,68,9/2/2015,2:23:36 PM,37.2909,27.6650,15.3750,
AR-370_NR2_2015-09-02_R_T2,69,9/2/2015,2:23:37 PM,37.2820,27.6650,15.3689,
AR-370_NR2_2015-09-02_R_T2,70,9/2/2015,2:23:38 PM,37.2686,27.6650,15.3598,
AR-370_NR2_2015-09-02_R_T2,71,9/2/2015,2:23:39 PM,37.2909,27.6650,15.3750,
AR-370_NR2_2015-09-02_R_T2,72,9/2/2015,2:23:40 PM,37.3890,27.6650,15.4417,
AR-370_NR2_2015-09-02_R_T2,73,9/2/2015,2:23:41 PM,37.4692,27.6650,15.4963,
AR-370_NR2_2015-09-02_R_T2,74,9/2/2015,2:23:42 PM,37.4470,27.6650,15.4812,
AR-370_NR2_2015-09-02_R_T2,75,9/2/2015,2:23:43 PM,37.3578,27.6650,15.4205,
AR-370_NR2_2015-09-02_R_T2,76,9/2/2015,2:23:44 PM,37.2374,27.6650,15.3385,
AR-370_NR2_2015-09-02_R_T2,77,9/2/2015,2:23:45 PM,37.1437,27.6650,15.2748,
AR-370_NR2_2015-09-02_R_T2,78,9/2/2015,2:23:46 PM,37.1392,27.6650,15.2717,
AR-370_NR2_2015-09-02_R_T2,79,9/2/2015,2:23:47 PM,37.2061,27.6650,15.3172,
