ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-372_TRAINCARS_2015-09-03_R_T1,6,9/3/2015,10:42:00 AM,38.4678,27.665,16.1758,30
AR-372_TRAINCARS_2015-09-03_R_T1,7,9/3/2015,10:42:01 AM,38.5435,27.665,16.2273,
AR-372_TRAINCARS_2015-09-03_R_T1,8,9/3/2015,10:42:02 AM,38.4766,27.665,16.1818,
AR-372_TRAINCARS_2015-09-03_R_T1,9,9/3/2015,10:42:03 AM,38.4321,27.665,16.1515,
AR-372_TRAINCARS_2015-09-03_R_T1,10,9/3/2015,10:42:04 AM,38.4231,27.665,16.1454,
AR-372_TRAINCARS_2015-09-03_R_T1,11,9/3/2015,10:42:05 AM,38.4188,27.665,16.1424,
AR-372_TRAINCARS_2015-09-03_R_T1,12,9/3/2015,10:42:06 AM,38.4454,27.665,16.1605,
AR-372_TRAINCARS_2015-09-03_R_T1,13,9/3/2015,10:42:07 AM,38.4633,27.665,16.1727,
AR-372_TRAINCARS_2015-09-03_R_T1,14,9/3/2015,10:42:08 AM,38.4811,27.665,16.1848,
AR-372_TRAINCARS_2015-09-03_R_T1,15,9/3/2015,10:42:09 AM,38.4678,27.665,16.1758,
AR-372_TRAINCARS_2015-09-03_R_T1,16,9/3/2015,10:42:10 AM,38.4365,27.665,16.1545,
AR-372_TRAINCARS_2015-09-03_R_T1,17,9/3/2015,10:42:11 AM,38.4365,27.665,16.1545,
AR-372_TRAINCARS_2015-09-03_R_T1,18,9/3/2015,10:42:12 AM,38.4409,27.665,16.1575,
AR-372_TRAINCARS_2015-09-03_R_T1,19,9/3/2015,10:42:13 AM,38.4098,27.665,16.1363,
AR-372_TRAINCARS_2015-09-03_R_T1,20,9/3/2015,10:42:14 AM,38.4454,27.665,16.1605,
AR-372_TRAINCARS_2015-09-03_R_T1,21,9/3/2015,10:42:15 AM,38.499,27.665,16.197,
AR-372_TRAINCARS_2015-09-03_R_T1,22,9/3/2015,10:42:16 AM,38.5523,27.665,16.2333,
AR-372_TRAINCARS_2015-09-03_R_T1,23,9/3/2015,10:42:17 AM,38.5702,27.665,16.2455,
AR-372_TRAINCARS_2015-09-03_R_T1,24,9/3/2015,10:42:18 AM,38.5301,27.665,16.2182,
AR-372_TRAINCARS_2015-09-03_R_T1,25,9/3/2015,10:42:19 AM,38.4231,27.665,16.1454,
AR-372_TRAINCARS_2015-09-03_R_T1,26,9/3/2015,10:42:20 AM,38.3429,27.665,16.0908,
AR-372_TRAINCARS_2015-09-03_R_T1,27,9/3/2015,10:42:21 AM,38.2984,27.665,16.0605,
AR-372_TRAINCARS_2015-09-03_R_T1,28,9/3/2015,10:42:22 AM,38.3384,27.665,16.0877,
AR-372_TRAINCARS_2015-09-03_R_T1,29,9/3/2015,10:42:23 AM,38.4188,27.665,16.1424,
AR-372_TRAINCARS_2015-09-03_R_T1,30,9/3/2015,10:42:24 AM,38.5345,27.665,16.2212,
AR-372_TRAINCARS_2015-09-03_R_T1,31,9/3/2015,10:42:25 AM,38.5657,27.665,16.2424,
AR-372_TRAINCARS_2015-09-03_R_T1,32,9/3/2015,10:42:26 AM,38.499,27.665,16.197,
AR-372_TRAINCARS_2015-09-03_R_T1,33,9/3/2015,10:42:27 AM,38.4409,27.665,16.1575,
AR-372_TRAINCARS_2015-09-03_R_T1,34,9/3/2015,10:42:28 AM,38.3874,27.665,16.1211,
AR-372_TRAINCARS_2015-09-03_R_T1,35,9/3/2015,10:42:29 AM,38.3786,27.665,16.1151,
AR-372_TRAINCARS_2015-09-03_R_T1,36,9/3/2015,10:42:30 AM,38.4053,27.665,16.1333,
