"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar1.79640718562874","semivar3.59281437125748","semivar5.38922155688623","semivar7.18562874251497","semivar8.98203592814371","semivar10.7784431137725","semivar12.5748502994012","semivar14.3712574850299","semivar16.1676646706587","semivar17.9640718562874","semivar19.7604790419162","semivar21.5568862275449","semivar23.3532934131737","semivar25.1497005988024","semivar26.9461077844311","semivar28.7425149700599","semivar30.5389221556886","semivar32.3353293413174","semivar34.1317365269461","semivar35.9281437125749","semivar37.7245508982036","semivar39.5209580838323","semivar41.3173652694611","semivar43.1137724550898","semivar44.9101796407186","semivar46.7065868263473","semivar48.502994011976","semivar50.2994011976048","semivar52.0958083832335","semivar53.8922155688623","semivar55.688622754491","semivar57.4850299401198","semivar59.2814371257485","semivar61.0778443113772","semivar62.874251497006","semivar64.6706586826347","semivar66.4670658682635","semivar68.2634730538922","semivar70.059880239521","semivar71.8562874251497","semivar73.6526946107784","semivar75.4491017964072","semivar77.2455089820359","semivar79.0419161676647","semivar80.8383233532934","semivar82.6347305389222","semivar84.4311377245509","semivar86.2275449101796","semivar88.0239520958084","semivar89.8203592814371","semivar91.6167664670659","semivar93.4131736526946","semivar95.2095808383233","semivar97.0059880239521","semivar98.8023952095808","semivar100.59880239521","semivar102.395209580838","semivar104.191616766467","semivar105.988023952096","semivar107.784431137725","semivar109.580838323353","semivar111.377245508982","semivar113.173652694611","semivar114.97005988024","semivar116.766467065868","semivar118.562874251497","semivar120.359281437126","semivar122.155688622754","semivar123.952095808383","semivar125.748502994012","semivar127.544910179641","semivar129.341317365269","semivar131.137724550898","semivar132.934131736527","semivar134.730538922156","semivar136.526946107784","semivar138.323353293413","semivar140.119760479042","semivar141.916167664671","semivar143.712574850299","semivar145.508982035928","semivar147.305389221557","semivar149.101796407186","semivar150.898203592814","semivar152.694610778443","semivar154.491017964072","semivar156.287425149701","semivar158.083832335329","semivar159.880239520958","semivar161.676646706587","semivar163.473053892216","semivar165.269461077844","semivar167.065868263473","semivar168.862275449102","semivar170.658682634731","semivar172.455089820359","semivar174.251497005988","semivar176.047904191617","semivar177.844311377246","semivar179.640718562874","semivar181.437125748503","semivar183.233532934132","semivar185.02994011976","semivar186.826347305389","semivar188.622754491018","semivar190.419161676647","semivar192.215568862275","semivar194.011976047904","semivar195.808383233533","semivar197.604790419162","semivar199.40119760479","semivar201.197604790419","semivar202.994011976048","semivar204.790419161677","semivar206.586826347305","semivar208.383233532934","semivar210.179640718563","semivar211.976047904192","semivar213.77245508982","semivar215.568862275449","semivar217.365269461078","semivar219.161676646707","semivar220.958083832335","semivar222.754491017964","semivar224.550898203593","semivar226.347305389222","semivar228.14371257485","semivar229.940119760479","semivar231.736526946108","semivar233.532934131737","semivar235.329341317365","semivar237.125748502994","semivar238.922155688623","semivar240.718562874251","semivar242.51497005988","semivar244.311377245509","semivar246.107784431138","semivar247.904191616766","semivar249.700598802395","semivar251.497005988024","semivar253.293413173653","semivar255.089820359281","semivar256.88622754491","semivar258.682634730539","semivar260.479041916168","semivar262.275449101796","semivar264.071856287425","semivar265.868263473054","semivar267.664670658683","semivar269.461077844311","semivar271.25748502994","semivar273.053892215569","semivar274.850299401198","semivar276.646706586826","semivar278.443113772455","semivar280.239520958084","semivar282.035928143713","semivar283.832335329341","semivar285.62874251497","semivar287.425149700599","semivar289.221556886228","semivar291.017964071856","semivar292.814371257485","semivar294.610778443114","semivar296.407185628743","semivar298.203592814371","semivar300"
"AR-364_PIPES_2015-12-10_R_T2",9,"12/10/2015","10:24:56 AM",34.4037,16.141,13.4103,60,"AR-364_PIPES_2015-12-10_R_T2_final.csv",0,0,0.365488035,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",10,"12/10/2015","10:24:57 AM",34.4037,16.141,13.4103,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",10,0.180722891566265,0.93077137,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",11,"12/10/2015","10:24:58 AM",34.4394,16.141,13.4346,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",20,0.36144578313253,1.511681115,"0.00059049000000001","0.00059049000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",12,"12/10/2015","10:24:59 AM",34.4215,16.141,13.4224,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",30,0.542168674698795,1.918348375,"0.00014884","0.000146410000000005","0.000146410000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",13,"12/10/2015","10:25:00 AM",34.368,16.141,13.386,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",40,0.72289156626506,2.08111134,"0.00132496000000003","0.00236196000000004","0.00059049000000001","0.00059049000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",14,"12/10/2015","10:25:01 AM",34.3191,16.141,13.3528,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",50,0.903614457831325,2.02951065,"0.00110223999999993","0.00484415999999992","0.00669123999999991","0.00330624999999991","0.00330624999999991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",15,"12/10/2015","10:25:02 AM",34.3101,16.141,13.3466,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",60,1.08433734939759,1.90171854,"3.8439999999997e-05","0.0015523599999999","0.00574563999999988","0.00774399999999986","0.00405768999999987","0.00405768999999987","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",16,"12/10/2015","10:25:03 AM",34.3636,16.141,13.383,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",70,1.26506024096386,1.821928025,"0.0013249599999999","0.000912039999999933","9.00000000000068e-06","0.00155236000000004","0.00266256000000006","0.000745290000000018","0.000745290000000018","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",17,"12/10/2015","10:25:04 AM",34.4927,16.141,13.4709,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",80,1.44578313253012,1.86400791,"0.00772641000000021","0.01545049","0.01394761","0.00720801000000018","0.00235225000000006","0.00131769000000005","0.00367236000000011","0.00367236000000011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_PIPES_2015-12-10_R_T2",18,"12/10/2015","10:25:05 AM",34.5551,16.141,13.5133,NA,"AR-364_PIPES_2015-12-10_R_T2_final.csv",90,1.62650602409639,2.03021095,"0.00179775999999991","0.01697809","0.0277888899999996","0.0257602499999997","0.01620529","0.00826280999999992","0.00619368999999993","0.010609","0.010609","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
