"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar1.73410404624277","semivar3.46820809248555","semivar5.20231213872832","semivar6.9364161849711","semivar8.67052023121387","semivar10.4046242774566","semivar12.1387283236994","semivar13.8728323699422","semivar15.606936416185","semivar17.3410404624277","semivar19.0751445086705","semivar20.8092485549133","semivar22.5433526011561","semivar24.2774566473988","semivar26.0115606936416","semivar27.7456647398844","semivar29.4797687861272","semivar31.2138728323699","semivar32.9479768786127","semivar34.6820809248555","semivar36.4161849710983","semivar38.150289017341","semivar39.8843930635838","semivar41.6184971098266","semivar43.3526011560694","semivar45.0867052023121","semivar46.8208092485549","semivar48.5549132947977","semivar50.2890173410405","semivar52.0231213872832","semivar53.757225433526","semivar55.4913294797688","semivar57.2254335260116","semivar58.9595375722543","semivar60.6936416184971","semivar62.4277456647399","semivar64.1618497109827","semivar65.8959537572254","semivar67.6300578034682","semivar69.364161849711","semivar71.0982658959538","semivar72.8323699421965","semivar74.5664739884393","semivar76.3005780346821","semivar78.0346820809249","semivar79.7687861271676","semivar81.5028901734104","semivar83.2369942196532","semivar84.971098265896","semivar86.7052023121387","semivar88.4393063583815","semivar90.1734104046243","semivar91.9075144508671","semivar93.6416184971098","semivar95.3757225433526","semivar97.1098265895954","semivar98.8439306358381","semivar100.578034682081","semivar102.312138728324","semivar104.046242774566","semivar105.780346820809","semivar107.514450867052","semivar109.248554913295","semivar110.982658959538","semivar112.71676300578","semivar114.450867052023","semivar116.184971098266","semivar117.919075144509","semivar119.653179190751","semivar121.387283236994","semivar123.121387283237","semivar124.85549132948","semivar126.589595375723","semivar128.323699421965","semivar130.057803468208","semivar131.791907514451","semivar133.526011560694","semivar135.260115606936","semivar136.994219653179","semivar138.728323699422","semivar140.462427745665","semivar142.196531791908","semivar143.93063583815","semivar145.664739884393","semivar147.398843930636","semivar149.132947976879","semivar150.867052023121","semivar152.601156069364","semivar154.335260115607","semivar156.06936416185","semivar157.803468208092","semivar159.537572254335","semivar161.271676300578","semivar163.005780346821","semivar164.739884393064","semivar166.473988439306","semivar168.208092485549","semivar169.942196531792","semivar171.676300578035","semivar173.410404624277","semivar175.14450867052","semivar176.878612716763","semivar178.612716763006","semivar180.346820809249","semivar182.080924855491","semivar183.815028901734","semivar185.549132947977","semivar187.28323699422","semivar189.017341040462","semivar190.751445086705","semivar192.485549132948","semivar194.219653179191","semivar195.953757225434","semivar197.687861271676","semivar199.421965317919","semivar201.156069364162","semivar202.890173410405","semivar204.624277456647","semivar206.35838150289","semivar208.092485549133","semivar209.826589595376","semivar211.560693641618","semivar213.294797687861","semivar215.028901734104","semivar216.763005780347","semivar218.49710982659","semivar220.231213872832","semivar221.965317919075","semivar223.699421965318","semivar225.433526011561","semivar227.167630057803","semivar228.901734104046","semivar230.635838150289","semivar232.369942196532","semivar234.104046242775","semivar235.838150289017","semivar237.57225433526","semivar239.306358381503","semivar241.040462427746","semivar242.774566473988","semivar244.508670520231","semivar246.242774566474","semivar247.976878612717","semivar249.71098265896","semivar251.445086705202","semivar253.179190751445","semivar254.913294797688","semivar256.647398843931","semivar258.381502890173","semivar260.115606936416","semivar261.849710982659","semivar263.583815028902","semivar265.317919075145","semivar267.052023121387","semivar268.78612716763","semivar270.520231213873","semivar272.254335260116","semivar273.988439306358","semivar275.722543352601","semivar277.456647398844","semivar279.190751445087","semivar280.924855491329","semivar282.658959537572","semivar284.393063583815","semivar286.127167630058","semivar287.861271676301","semivar289.595375722543","semivar291.329479768786","semivar293.063583815029","semivar294.797687861272","semivar296.531791907514","semivar298.265895953757","semivar300"
"AR-370_NR2_2015-09-02_R_T3",11,"9/2/2015","2:19:06 PM",37.4247,27.665,15.466,90,"AR-370_NR2_2015-09-02_R_T3_final.csv",0,0,0.133057525,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",12,"9/2/2015","2:19:07 PM",37.438,27.665,15.475,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",10,0.174418604651163,0.39442714,"8.10000000000061e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",13,"9/2/2015","2:19:08 PM",37.4157,27.665,15.4599,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",20,0.348837209302326,0.657966949999999,"0.00022801000000001","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",14,"9/2/2015","2:19:09 PM",37.3667,27.665,15.4265,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",30,0.523255813953488,0.814017244999998,"0.0011155599999999","0.00235224999999989","0.00156024999999988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",15,"9/2/2015","2:19:10 PM",37.2731,27.665,15.3628,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",40,0.697674418604651,0.817897494999998,"0.0040576900000001","0.00942840999999986","0.0125888399999999","0.0106502399999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",16,"9/2/2015","2:19:11 PM",37.2284,27.665,15.3324,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",50,0.872093023255814,0.718495879999998,"0.000924160000000012","0.00885481000000018","0.0162562499999999","0.02033476","0.0178489599999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",17,"9/2/2015","2:19:12 PM",37.2775,27.665,15.3658,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",60,1.04651162790698,0.586475804999999,"0.00111556000000002","9.00000000000068e-06","0.00368449000000008","0.00885480999999985","0.0119246399999999","0.0100400399999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",18,"9/2/2015","2:19:13 PM",37.3533,27.665,15.4174,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",70,1.22093023255814,0.493256359999999,"0.00266256000000006","0.00722500000000015","0.00298116000000007","8.2810000000002e-05","0.00180624999999989","0.00331775999999988","0.00236195999999987","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",19,"9/2/2015","2:19:14 PM",37.4247,27.665,15.466,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",80,1.3953488372093,0.467711294999998,"0.00236195999999987","0.0100400399999998","0.0178489599999999","0.0106502399999999","0.00156024999999988","3.72099999999999e-05","8.10000000000061e-05","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2015-09-02_R_T3",20,"9/2/2015","2:19:15 PM",37.4737,27.665,15.4993,NA,"AR-370_NR2_2015-09-02_R_T3_final.csv",90,1.56976744186047,0.513846604999998,"0.00110889000000004","0.00670760999999987","0.0178222499999999","0.02785561","0.01863225","0.00529983999999987","0.00155236000000004","0.00059049000000001","0.00110889000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
