"ID","Site","Subsite","Date","Transect_Type","Transect_Number","max_dep","min_dep","avg_dep","ver_rel_m","DRR"
"AR-330_BARGE_2015-08-20_R_T1","330","BARGE","2015-08-20","Radiating",1,19.768,17.003,19.245697761194,2.765,0.825801510811229
"AR-330_BARGE_2015-08-20_R_T2","330","BARGE","2015-08-20","Radiating",2,19.7152,19.451,19.5793560283688,0.264199999999999,0.0629915281931902
"AR-330_BARGE_2015-08-20_S","330","BARGE","2015-08-20","Structural",0,19.9796,17.4852,17.761385,2.4944,0.481498212476527
"AR-330_BARGE_2015-09-08_R_T1","330","BARGE","2015-09-08","Radiating",1,18.8995,18.4211,18.6517211111111,0.478400000000001,0.104128263723262
"AR-330_BARGE_2015-09-08_R_T2","330","BARGE","2015-09-08","Radiating",2,18.7511,18.4393,18.58601,0.311800000000002,0.0683240253436036
"AR-330_BARGE_2015-09-08_R_T3","330","BARGE","2015-09-08","Radiating",3,18.82072952,18.47560042,18.6563416406011,0.345129100000001,0.0589660418669526
"AR-330_BARGE_2015-09-08_S","330","BARGE","2015-09-08","Structural",0,18.83393044,18.30208323,18.5634535442908,0.531847209999999,0.0984115477528333
"AR-330_BARGE_2015-12-11_R_T1","330","BARGE","2015-12-11","Radiating",1,19.38966178,18.26411358,18.9056768940196,1.1255482,0.268677162966671
"AR-330_BARGE_2015-12-11_S","330","BARGE","2015-12-11","Structural",0,16.797451,16.42802949,16.6286032576378,0.369421509999999,0.0751489074750789
"AR-330_BARGE_2016-04-26_R_T1","330","BARGE","2016-04-26","Radiating",1,18.8193686,18.52935673,18.7123182996078,0.290011870000001,0.0504355956481154
"AR-330_BARGE_2016-04-26_R_T2","330","BARGE","2016-04-26","Radiating",2,18.9070118,18.67443071,18.7941267915238,0.23258109,0.0511970503159284
"AR-330_BARGE_2016-04-26_R_T3","330","BARGE","2016-04-26","Radiating",3,18.93409409,18.6653806,18.8569361561818,0.26871349,0.0449992116800884
"AR-330_BARGE_2016-04-26_S","330","BARGE","2016-04-26","Structural",0,16.723417,16.29071275,16.5850898423022,0.43270425,0.0744871453358554
"AR-330_H-UNITS_2015-09-08_S","330","H-UNITS","2015-09-08","Structural",0,19.24744572,18.45743215,18.9956281982222,0.790013570000003,0.169845487124638
"AR-330_H-UNITS_2016-01-15_R_T1","330","H-UNITS","2016-01-15","Radiating",1,19.262,18.921,19.0691916666667,0.341000000000001,0.0761904274022357
"AR-330_H-UNITS_2016-01-15_R_T2","330","H-UNITS","2016-01-15","Radiating",2,19.2891,18.9511,19.1065432835821,0.338000000000001,0.0650683809747167
"AR-330_H-UNITS_2016-01-15_R_T3","330","H-UNITS","2016-01-15","Radiating",3,19.3675,18.9662,19.1562435714286,0.401299999999999,0.0800969782800773
"AR-330_H-UNITS_2016-01-15_S","330","H-UNITS","2016-01-15","Structural",0,19.3852,18.3485,18.997544,1.0367,0.261841190785457
"AR-330_INDRA_2015-07-27_S","330","INDRA","2015-07-27","Structural",0,16.27329298,10.95978824,14.0931781410326,5.31350474,1.18309212577654
"AR-330_INDRA_2015-08-20_S","330","INDRA","2015-08-20","Structural",0,18.5884,15.0394,16.2320486338798,3.549,1.19511218181694
"AR-330_INDRA_2015-09-08_R_T1","330","INDRA","2015-09-08","Radiating",1,18.615,15.3374,17.3097934693878,3.2776,0.975566817017355
"AR-330_INDRA_2015-09-08_R_T2","330","INDRA","2015-09-08","Radiating",2,18.629,18.2591,18.4327920187793,0.369900000000001,0.0763138917727899
"AR-330_INDRA_2015-09-08_R_T3","330","INDRA","2015-09-08","Radiating",3,18.71069921,18.45001514,18.5834021382162,0.26068407,0.05318574191835
"AR-330_INDRA_2015-09-08_S","330","INDRA","2015-09-08","Structural",0,15.04880596,12.28511937,14.4316006287603,2.76368659,0.894061534965031
"AR-330_INDRA_2015-12-11_R_T1","330","INDRA","2015-12-11","Radiating",1,19.6738,18.8372,19.1623184466019,0.836600000000001,0.225160781224184
"AR-330_INDRA_2015-12-11_R_T2","330","INDRA","2015-12-11","Radiating",2,19.24132159,18.87931709,19.0624395647619,0.362004499999998,0.0819705982411943
"AR-330_INDRA_2015-12-11_R_T3","330","INDRA","2015-12-11","Radiating",3,19.33270731,18.92150558,19.1829257308696,0.411201729999998,0.0765915369237193
"AR-330_INDRA_2015-12-11_S","330","INDRA","2015-12-11","Structural",0,16.9557259,15.19612546,15.9617007684615,1.75960044,0.21877656203064
"AR-330_INDRA_2016-04-26_R_T1","330","INDRA","2016-04-26","Radiating",1,19.39007005,18.55358109,18.829701579902,0.836488959999997,0.248076052236394
"AR-330_INDRA_2016-04-26_R_T2","330","INDRA","2016-04-26","Radiating",2,18.9070118,18.5324188,18.6572064871579,0.374593000000001,0.0838729518015474
"AR-330_INDRA_2016-04-26_R_T3","330","INDRA","2016-04-26","Radiating",3,18.96736856,18.77105597,18.8672702064646,0.196312590000002,0.0434807892286045
"AR-330_INDRA_2016-04-26_S","330","INDRA","2016-04-26","Structural",0,17.11039436,12.03382565,15.0252668092442,5.07656871,0.889413532159449
"AR-330_PIPES_2015-07-17_S","330","PIPES","2015-07-17","Structural",0,19.03663935,17.88087875,18.4526358004712,1.1557606,0.198831321697584
"AR-330_PIPES_2015-09-08_R_T1","330","PIPES","2015-09-08","Radiating",1,19.0488,18.5558,18.7702705202312,0.492999999999999,0.117204406012237
"AR-330_PIPES_2015-09-08_R_T2","330","PIPES","2015-09-08","Radiating",2,18.8093,18.5381,18.6826127272727,0.2712,0.0453886511597557
"AR-330_PIPES_2015-09-08_R_T3","330","PIPES","2015-09-08","Radiating",3,18.848084,18.59093832,18.7072944040491,0.257145680000001,0.043495636652726
"AR-330_PIPES_2015-09-08_S","330","PIPES","2015-09-08","Structural",0,19.10162324,16.63189518,17.026846006215,2.46972806,0.552308389173492
"AR-330_PIPES_2016-01-15_R_T1","330","PIPES","2016-01-15","Radiating",1,18.95722971,18.69151025,18.8198500494521,0.26571946,0.0531665431515023
"AR-330_PIPES_2016-01-15_R_T2","330","PIPES","2016-01-15","Radiating",2,18.8093,18.5828,18.7098833333333,0.226500000000001,0.0492788128863822
"AR-330_PIPES_2016-01-15_R_T3","330","PIPES","2016-01-15","Radiating",3,18.9421,18.5769,18.7333335877863,0.365200000000002,0.0660579426432548
"AR-330_PIPES_2016-01-15_S","330","PIPES","2016-01-15","Structural",0,19.2272,17.0136,18.3439346320346,2.2136,0.510625936444009
"AR-342_PIPES_2015-10-14_R_T1","342","PIPES","2015-10-14","Radiating",1,16.6556,15.4527,16.089803164557,1.2029,0.307603670880502
