ID,Site,Subsite,Diver_Team,Date,Transect_Type,Sampling_Period ,Transect_Number,Transect_Heading,Visibility,Species_Code,Species,Abundance,Size_cm,Min_Range_cm,Max_Range_cm,Water_Col_Position,Biomass_kg_m3,Data_Entered_By,Data_Read_By,Notes,QAQC_Name,QAQC_Date,QAQC_Notes
AR-345_TITAN_2015-10-15_S,345,TITAN,HL_TK,2015-10-15,Structural,Fall,,,15-20,SERI,Almaco Jack,3,76,,,W,,HL,,,HL,2015-11-6,0 errors 
AR-370_NR2_2015-09-09_S,370,NR2,CR_BW,2015-09-09,Structural,Fall,,30,,CHFA,Atlantic Spadefish,60,,20,25,R,,CR,,,HL,2015-11-5,0 errors 
AR-345_PIPES_2015-08-10_S,345,PIPES,HL_GS,2015-08-10,Structural,Summer,,,,CHFA,Atlantic Spadefish,3,25,,,R_S,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_TITAN_2015-07-17_S,345,TITAN,HL_AP,2015-07-17,Structural,Summer,,,,CHFA,Atlantic Spadefish,1,big,,,R ,,CR,HL,"PRE SAMPLING PERIOD 1st dive, less reliable data",CR,2015-10-29,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CHFA,Atlantic Spadefish,2,23,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CHFA,Atlantic Spadefish,2,27,,,R,,CR,,,CR,2015-10-30,0 errors
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SPSP,Bandtail Pufferfish,1,25,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SPSP,Bandtail Pufferfish,1,18,,,R,,HL,,,CR,2015-11-03,0 errors
AR-372_NR2_2015-12-09_S,372,NR2,CR_HL,2015-12-09,Structural,Winter,,,20,SPSP,Bandtail Pufferfish,2,25,,,R,,CR,,,,,
AR-364_PIPES_2015-12-10_S,364,PIPES,HL_DW,2015-12-10,Structural,Winter,,,10-15,SPSP,Bandtail Pufferfish,1,32,,,R,,HL,,,,,
AR-364_PIPES_2015-12-10_S,364,PIPES,HL_DW,2015-12-10,Structural,Winter,,,10-15,SPSP,Bandtail Pufferfish,1,20,,,R,,HL,,,,,
AR-364_PODS_2015-09-21_S,364,PODS,CR_SO,2015-09-21,Structural,Fall,,60,,SPSP,Bandtail Pufferfish,1,20,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_PODS_2015-09-21_S,364,PODS,CR_SO,2015-09-21,Structural,Fall,,60,,SPSP,Bandtail Pufferfish,1,23,,,R,,CR,,,CR,2015-11-03,0 errors
AR-378_PODS_2015-09-14_S,378,PODS,CR_HL,2015-09-14,Structural,Fall,,,,SPSP,Bandtail Pufferfish,1,23,,,R,,CR,,,HL,2015-11-7,0 errors 
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,2015-12-11,Radiating,Winter,3,315,35-40,CEOC,Bank Sea Bass,10,26,,,R,,CR,,Sailboat at 32-45 m,,,
