ID, AR_ #,AR_Subsite,Diver_Team,Date,Transect_Type,Sampling_Period ,Transect_Number,Transect_Heading,Visibility,Species code,Species,Abundance,Size_cm,Min Range_cm,Max Range_cm,Water_Col_Position,Biomass_kg/m3,Data entered by,Data read by,NOTES,QAQC_name,QAQC_date,QAQC_Notes
AR_330_PIPES_2016-01-15_R_T1,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,1,300,15ft,,,NO_FISH,,,,,,CR,,Pipe,,,
AR_330_PIPES_2016-01-15_R_T2,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,2,300,15ft,,,NO_FISH,,,,,,CR,,,,,
AR_330_PIPES_2016-01-15_R_T3,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,3,300,15ft,SYFO,Inshore Lizardfish,1,30,,,R,,CR,,,,,
AR_330_PIPES_2016-01-15_R_T4,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,4,300,15ft,,,NO_FISH,,,,,,CR,,,,,
AR_330_PIPES_2016-01-15_R_T5,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,5,300,15ft,SYFO,Inshore Lizardfish,1,32,,,R,,CR,,,,,
AR_330_PIPES_2016-01-15_R_T6,330,PIPES,CR_SO,1/15/2016,Radiating,Winter ,6,300,15ft,,,NO_FISH,,,,,,CR,,,,,
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,15,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,17,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,14,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,20,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,10,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,25,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,16,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,25,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,10,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,SYFO,Inshore Lizardfish,1,16,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,STCA/STCH,Longspine Porgy/Scup,2,12,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,DIFO,Sand Perch,2,11,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,DIFO,Sand Perch,1,13,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,HABI,Slippery Dick,1,14,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,DIHO,Spottail Pinfish,3,15,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,DIHO,Spottail Pinfish,1,10,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,HAAU,Tomtate,1,20,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,HAAU,Tomtate,9,11,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,HAAU,Tomtate,10,13,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T1,330,BARGE,CR,8/20/2015,Radiating,Fall,1,330,,HAAU,Tomtate,2000,13,,,R/S,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T2,330,BARGE,CR,8/20/2015,Radiating,Fall,2,330,,DIFO,Sand Perch,5,12,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T2,330,BARGE,CR,8/20/2015,Radiating,Fall,2,330,,DIFO,Sand Perch,1,13,,,R,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_R_T2,330,BARGE,CR,8/20/2015,Radiating,Fall,2,330,,HAAU,Tomtate,2000,11,,,S,,HL,CR,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
