ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-345_RB1_2015-10-15_R_T3,18,10/15/2015,10:48:59 AM,42.8321,23.9660,19.1455,90
AR-345_RB1_2015-10-15_R_T3,19,10/15/2015,10:49:00 AM,42.7877,23.9660,19.1153,
AR-345_RB1_2015-10-15_R_T3,20,10/15/2015,10:49:01 AM,42.7432,23.9660,19.0850,
AR-345_RB1_2015-10-15_R_T3,21,10/15/2015,10:49:02 AM,42.7832,23.9660,19.1122,
AR-345_RB1_2015-10-15_R_T3,22,10/15/2015,10:49:03 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T3,23,10/15/2015,10:49:04 AM,42.8631,23.9660,19.1666,
AR-345_RB1_2015-10-15_R_T3,24,10/15/2015,10:49:05 AM,42.8366,23.9660,19.1486,
AR-345_RB1_2015-10-15_R_T3,25,10/15/2015,10:49:06 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T3,26,10/15/2015,10:49:07 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T3,27,10/15/2015,10:49:08 AM,42.8366,23.9660,19.1486,
AR-345_RB1_2015-10-15_R_T3,28,10/15/2015,10:49:09 AM,42.8099,23.9660,19.1304,
AR-345_RB1_2015-10-15_R_T3,29,10/15/2015,10:49:10 AM,42.7387,23.9660,19.0820,
AR-345_RB1_2015-10-15_R_T3,30,10/15/2015,10:49:11 AM,42.6943,23.9660,19.0517,
AR-345_RB1_2015-10-15_R_T3,31,10/15/2015,10:49:12 AM,42.7032,23.9660,19.0578,
AR-345_RB1_2015-10-15_R_T3,32,10/15/2015,10:49:13 AM,42.7832,23.9660,19.1122,
AR-345_RB1_2015-10-15_R_T3,33,10/15/2015,10:49:14 AM,42.8898,23.9660,19.1848,
AR-345_RB1_2015-10-15_R_T3,34,10/15/2015,10:49:15 AM,42.9566,23.9660,19.2302,
AR-345_RB1_2015-10-15_R_T3,35,10/15/2015,10:49:16 AM,42.9254,23.9660,19.2090,
AR-345_RB1_2015-10-15_R_T3,36,10/15/2015,10:49:17 AM,42.8233,23.9660,19.1395,
AR-345_RB1_2015-10-15_R_T3,37,10/15/2015,10:49:18 AM,42.7699,23.9660,19.1032,
AR-345_RB1_2015-10-15_R_T3,38,10/15/2015,10:49:19 AM,42.8054,23.9660,19.1273,
AR-345_RB1_2015-10-15_R_T3,39,10/15/2015,10:49:20 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T3,40,10/15/2015,10:49:21 AM,42.8721,23.9660,19.1727,
AR-345_RB1_2015-10-15_R_T3,41,10/15/2015,10:49:22 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T3,42,10/15/2015,10:49:23 AM,42.8009,23.9660,19.1243,
AR-345_RB1_2015-10-15_R_T3,43,10/15/2015,10:49:24 AM,42.7744,23.9660,19.1063,
AR-345_RB1_2015-10-15_R_T3,50,10/15/2015,10:49:31 AM,42.7122,23.9660,19.0639,85
AR-345_RB1_2015-10-15_R_T3,51,10/15/2015,10:49:32 AM,42.8009,23.9660,19.1243,
AR-345_RB1_2015-10-15_R_T3,52,10/15/2015,10:49:33 AM,42.7299,23.9660,19.0760,
AR-345_RB1_2015-10-15_R_T3,53,10/15/2015,10:49:34 AM,42.7032,23.9660,19.0578,
AR-345_RB1_2015-10-15_R_T3,54,10/15/2015,10:49:35 AM,42.7744,23.9660,19.1063,
AR-345_RB1_2015-10-15_R_T3,55,10/15/2015,10:49:36 AM,42.8588,23.9660,19.1637,
AR-345_RB1_2015-10-15_R_T3,56,10/15/2015,10:49:37 AM,42.9120,23.9660,19.1999,
AR-345_RB1_2015-10-15_R_T3,57,10/15/2015,10:49:38 AM,42.8898,23.9660,19.1848,
AR-345_RB1_2015-10-15_R_T3,58,10/15/2015,10:49:39 AM,42.8631,23.9660,19.1666,
AR-345_RB1_2015-10-15_R_T3,59,10/15/2015,10:49:40 AM,42.8233,23.9660,19.1395,
AR-345_RB1_2015-10-15_R_T3,60,10/15/2015,10:49:41 AM,42.8143,23.9660,19.1334,
AR-345_RB1_2015-10-15_R_T3,61,10/15/2015,10:49:42 AM,42.8543,23.9660,19.1606,
AR-345_RB1_2015-10-15_R_T3,62,10/15/2015,10:49:43 AM,42.8898,23.9660,19.1848,
AR-345_RB1_2015-10-15_R_T3,63,10/15/2015,10:49:44 AM,42.8943,23.9660,19.1878,
AR-345_RB1_2015-10-15_R_T3,64,10/15/2015,10:49:45 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T3,65,10/15/2015,10:49:46 AM,42.7699,23.9660,19.1032,
AR-345_RB1_2015-10-15_R_T3,66,10/15/2015,10:49:47 AM,42.7387,23.9660,19.0820,
AR-345_RB1_2015-10-15_R_T3,67,10/15/2015,10:49:48 AM,42.7432,23.9660,19.0850,
AR-345_RB1_2015-10-15_R_T3,68,10/15/2015,10:49:49 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T3,69,10/15/2015,10:49:50 AM,42.8943,23.9660,19.1878,
AR-345_RB1_2015-10-15_R_T3,70,10/15/2015,10:49:51 AM,42.9210,23.9660,19.2060,
AR-345_RB1_2015-10-15_R_T3,71,10/15/2015,10:49:52 AM,42.9077,23.9660,19.1970,
AR-345_RB1_2015-10-15_R_T3,72,10/15/2015,10:49:53 AM,42.8498,23.9660,19.1576,
AR-345_RB1_2015-10-15_R_T3,73,10/15/2015,10:49:54 AM,42.7966,23.9660,19.1214,
AR-345_RB1_2015-10-15_R_T3,74,10/15/2015,10:49:55 AM,42.7610,23.9660,19.0971,
AR-345_RB1_2015-10-15_R_T3,75,10/15/2015,10:49:56 AM,42.7565,23.9660,19.0941,
AR-345_RB1_2015-10-15_R_T3,76,10/15/2015,10:49:57 AM,42.7654,23.9660,19.1001,80
AR-345_RB1_2015-10-15_R_T3,82,10/15/2015,10:50:03 AM,42.7210,23.9660,19.0699,
AR-345_RB1_2015-10-15_R_T3,83,10/15/2015,10:50:04 AM,42.7699,23.9660,19.1032,
AR-345_RB1_2015-10-15_R_T3,84,10/15/2015,10:50:05 AM,42.7610,23.9660,19.0971,
AR-345_RB1_2015-10-15_R_T3,85,10/15/2015,10:50:06 AM,42.7877,23.9660,19.1153,
AR-345_RB1_2015-10-15_R_T3,86,10/15/2015,10:50:07 AM,42.8188,23.9660,19.1365,
AR-345_RB1_2015-10-15_R_T3,87,10/15/2015,10:50:08 AM,42.8366,23.9660,19.1486,
AR-345_RB1_2015-10-15_R_T3,88,10/15/2015,10:50:09 AM,42.8276,23.9660,19.1425,
AR-345_RB1_2015-10-15_R_T3,89,10/15/2015,10:50:10 AM,42.8455,23.9660,19.1546,
AR-345_RB1_2015-10-15_R_T3,90,10/15/2015,10:50:11 AM,42.8321,23.9660,19.1455,
AR-345_RB1_2015-10-15_R_T3,91,10/15/2015,10:50:12 AM,42.8009,23.9660,19.1243,
AR-345_RB1_2015-10-15_R_T3,92,10/15/2015,10:50:13 AM,42.7610,23.9660,19.0971,
AR-345_RB1_2015-10-15_R_T3,93,10/15/2015,10:50:14 AM,42.7387,23.9660,19.0820,
AR-345_RB1_2015-10-15_R_T3,94,10/15/2015,10:50:15 AM,42.7520,23.9660,19.0910,
AR-345_RB1_2015-10-15_R_T3,95,10/15/2015,10:50:16 AM,42.8143,23.9660,19.1334,
AR-345_RB1_2015-10-15_R_T3,96,10/15/2015,10:50:17 AM,42.8588,23.9660,19.1637,
AR-345_RB1_2015-10-15_R_T3,97,10/15/2015,10:50:18 AM,42.9210,23.9660,19.2060,
AR-345_RB1_2015-10-15_R_T3,98,10/15/2015,10:50:19 AM,42.8676,23.9660,19.1697,
AR-345_RB1_2015-10-15_R_T3,99,10/15/2015,10:50:20 AM,42.7877,23.9660,19.1153,
