ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-345_TITAN_2016-04-21_R_T1,9,4/21/2016,9:40:23 AM,42.2772,16.5230,18.7679,30
AR-345_TITAN_2016-04-21_R_T1,10,4/21/2016,9:40:24 AM,42.2994,16.5230,18.7830,
AR-345_TITAN_2016-04-21_R_T1,11,4/21/2016,9:40:25 AM,42.3394,16.5230,18.8103,
AR-345_TITAN_2016-04-21_R_T1,12,4/21/2016,9:40:26 AM,42.3881,16.5230,18.8434,
AR-345_TITAN_2016-04-21_R_T1,13,4/21/2016,9:40:27 AM,42.3349,16.5230,18.8072,
AR-345_TITAN_2016-04-21_R_T1,14,4/21/2016,9:40:28 AM,42.3082,16.5230,18.7890,
AR-345_TITAN_2016-04-21_R_T1,15,4/21/2016,9:40:29 AM,42.2462,16.5230,18.7468,
AR-345_TITAN_2016-04-21_R_T1,16,4/21/2016,9:40:30 AM,42.2595,16.5230,18.7559,
AR-345_TITAN_2016-04-21_R_T1,17,4/21/2016,9:40:31 AM,42.3438,16.5230,18.8132,
AR-345_TITAN_2016-04-21_R_T1,18,4/21/2016,9:40:32 AM,42.4103,16.5230,18.8585,
AR-345_TITAN_2016-04-21_R_T1,19,4/21/2016,9:40:33 AM,42.4148,16.5230,18.8616,
AR-345_TITAN_2016-04-21_R_T1,20,4/21/2016,9:40:34 AM,42.3526,16.5230,18.8192,
AR-345_TITAN_2016-04-21_R_T1,21,4/21/2016,9:40:35 AM,42.3039,16.5230,18.7861,
AR-345_TITAN_2016-04-21_R_T1,22,4/21/2016,9:40:36 AM,42.1973,16.5230,18.7136,
AR-345_TITAN_2016-04-21_R_T1,23,4/21/2016,9:40:37 AM,42.2195,16.5230,18.7287,
AR-345_TITAN_2016-04-21_R_T1,24,4/21/2016,9:40:38 AM,42.2328,16.5230,18.7377,
AR-345_TITAN_2016-04-21_R_T1,25,4/21/2016,9:40:39 AM,42.3039,16.5230,18.7861,
AR-345_TITAN_2016-04-21_R_T1,26,4/21/2016,9:40:40 AM,42.3349,16.5230,18.8072,
AR-345_TITAN_2016-04-21_R_T1,27,4/21/2016,9:40:41 AM,42.3526,16.5230,18.8192,
AR-345_TITAN_2016-04-21_R_T1,28,4/21/2016,9:40:42 AM,42.3616,16.5230,18.8254,25
AR-345_TITAN_2016-04-21_R_T1,33,4/21/2016,9:40:47 AM,42.4325,16.5230,18.8736,
AR-345_TITAN_2016-04-21_R_T1,34,4/21/2016,9:40:48 AM,42.3438,16.5230,18.8132,
AR-345_TITAN_2016-04-21_R_T1,35,4/21/2016,9:40:49 AM,42.2550,16.5230,18.7528,
AR-345_TITAN_2016-04-21_R_T1,36,4/21/2016,9:40:50 AM,42.2595,16.5230,18.7559,
AR-345_TITAN_2016-04-21_R_T1,37,4/21/2016,9:40:51 AM,42.2507,16.5230,18.7499,
AR-345_TITAN_2016-04-21_R_T1,38,4/21/2016,9:40:52 AM,42.3571,16.5230,18.8223,
AR-345_TITAN_2016-04-21_R_T1,39,4/21/2016,9:40:53 AM,42.4060,16.5230,18.8556,
AR-345_TITAN_2016-04-21_R_T1,40,4/21/2016,9:40:54 AM,42.4282,16.5230,18.8707,
AR-345_TITAN_2016-04-21_R_T1,41,4/21/2016,9:40:55 AM,42.4592,16.5230,18.8918,
AR-345_TITAN_2016-04-21_R_T1,42,4/21/2016,9:40:56 AM,42.4592,16.5230,18.8918,
AR-345_TITAN_2016-04-21_R_T1,43,4/21/2016,9:40:57 AM,42.4060,16.5230,18.8556,
AR-345_TITAN_2016-04-21_R_T1,44,4/21/2016,9:40:58 AM,42.3748,16.5230,18.8343,
AR-345_TITAN_2016-04-21_R_T1,45,4/21/2016,9:40:59 AM,42.3039,16.5230,18.7861,
AR-345_TITAN_2016-04-21_R_T1,46,4/21/2016,9:41:00 AM,42.3261,16.5230,18.8012,
AR-345_TITAN_2016-04-21_R_T1,47,4/21/2016,9:41:01 AM,42.4148,16.5230,18.8616,
AR-345_TITAN_2016-04-21_R_T1,48,4/21/2016,9:41:02 AM,42.5213,16.5230,18.9340,
AR-345_TITAN_2016-04-21_R_T1,49,4/21/2016,9:41:03 AM,42.6012,16.5230,18.9884,
AR-345_TITAN_2016-04-21_R_T1,50,4/21/2016,9:41:04 AM,42.5879,16.5230,18.9793,20
AR-345_TITAN_2016-04-21_R_T1,56,4/21/2016,9:41:10 AM,42.4903,16.5230,18.9129,
AR-345_TITAN_2016-04-21_R_T1,57,4/21/2016,9:41:11 AM,42.5702,16.5230,18.9673,
AR-345_TITAN_2016-04-21_R_T1,58,4/21/2016,9:41:12 AM,42.5702,16.5230,18.9673,
AR-345_TITAN_2016-04-21_R_T1,59,4/21/2016,9:41:13 AM,42.4903,16.5230,18.9129,
AR-345_TITAN_2016-04-21_R_T1,60,4/21/2016,9:41:14 AM,42.5213,16.5230,18.9340,
