ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-364_DOMES_2015-12-10_R_T2,10,12/10/2015,12:39:23 PM,32.6384,16.046,12.20911203,60
AR-364_DOMES_2015-12-10_R_T2,11,12/10/2015,12:39:24 PM,32.6251,16.046,12.20006192,
AR-364_DOMES_2015-12-10_R_T2,12,12/10/2015,12:39:25 PM,32.7408,16.046,12.2787911,
AR-364_DOMES_2015-12-10_R_T2,13,12/10/2015,12:39:26 PM,32.9057,16.046,12.39099888,
AR-364_DOMES_2015-12-10_R_T2,14,12/10/2015,12:39:27 PM,33.0038,16.046,12.45775197,
AR-364_DOMES_2015-12-10_R_T2,15,12/10/2015,12:39:28 PM,33.142,16.046,12.55179148,
AR-364_DOMES_2015-12-10_R_T2,16,12/10/2015,12:39:29 PM,33.2132,16.046,12.6002402,
AR-364_DOMES_2015-12-10_R_T2,17,12/10/2015,12:39:30 PM,33.191,16.046,12.585134,
AR-364_DOMES_2015-12-10_R_T2,18,12/10/2015,12:39:31 PM,33.084,16.046,12.51232482,
AR-364_DOMES_2015-12-10_R_T2,19,12/10/2015,12:39:32 PM,32.8924,16.046,12.38194877,
AR-364_DOMES_2015-12-10_R_T2,20,12/10/2015,12:39:33 PM,32.83,16.046,12.33948809,
AR-364_DOMES_2015-12-10_R_T2,21,12/10/2015,12:39:34 PM,32.8434,16.046,12.34860625,
AR-364_DOMES_2015-12-10_R_T2,22,12/10/2015,12:39:35 PM,32.8255,16.046,12.33642602,
AR-364_DOMES_2015-12-10_R_T2,23,12/10/2015,12:39:36 PM,32.83,16.046,12.33948809,
AR-364_DOMES_2015-12-10_R_T2,24,12/10/2015,12:39:37 PM,32.8567,16.046,12.35765636,
AR-364_DOMES_2015-12-10_R_T2,25,12/10/2015,12:39:38 PM,32.9147,16.046,12.39712302,
AR-364_DOMES_2015-12-10_R_T2,26,12/10/2015,12:39:39 PM,32.9861,16.046,12.44570783,
AR-364_DOMES_2015-12-10_R_T2,27,12/10/2015,12:39:40 PM,33.0528,16.046,12.49109449,
AR-364_DOMES_2015-12-10_R_T2,28,12/10/2015,12:39:41 PM,33.0663,16.046,12.50028069,
AR-364_DOMES_2015-12-10_R_T2,29,12/10/2015,12:39:42 PM,33.0439,16.046,12.48503839,
AR-364_DOMES_2015-12-10_R_T2,30,12/10/2015,12:39:43 PM,32.9547,16.046,12.4243414,
AR-364_DOMES_2015-12-10_R_T2,31,12/10/2015,12:39:44 PM,32.888,16.046,12.37895475,
AR-364_DOMES_2015-12-10_R_T2,32,12/10/2015,12:39:45 PM,32.8612,16.046,12.36071843,
AR-364_DOMES_2015-12-10_R_T2,33,12/10/2015,12:39:46 PM,32.879,16.046,12.37283061,
AR-364_DOMES_2015-12-10_R_T2,34,12/10/2015,12:39:47 PM,32.9547,16.046,12.4243414,
AR-364_DOMES_2015-12-10_R_T2,35,12/10/2015,12:39:48 PM,32.9771,16.046,12.43958369,
AR-364_DOMES_2015-12-10_R_T2,36,12/10/2015,12:39:49 PM,32.9147,16.046,12.39712302,
AR-364_DOMES_2015-12-10_R_T2,37,12/10/2015,12:39:50 PM,32.8167,16.046,12.33043798,
AR-364_DOMES_2015-12-10_R_T2,38,12/10/2015,12:39:51 PM,32.7677,16.046,12.29709546,
AR-364_DOMES_2015-12-10_R_T2,39,12/10/2015,12:39:52 PM,32.7231,16.046,12.26674696,55
AR-364_DOMES_2015-12-10_R_T2,8,12/10/2015,12:40:00 PM,32.7498,16.046,12.28491523,
AR-364_DOMES_2015-12-10_R_T2,9,12/10/2015,12:40:01 PM,32.7096,16.046,12.25756076,
AR-364_DOMES_2015-12-10_R_T2,10,12/10/2015,12:40:02 PM,32.7275,16.046,12.26974098,
AR-364_DOMES_2015-12-10_R_T2,11,12/10/2015,12:40:03 PM,32.7587,16.046,12.29097132,
AR-364_DOMES_2015-12-10_R_T2,12,12/10/2015,12:40:04 PM,32.9147,16.046,12.39712302,
AR-364_DOMES_2015-12-10_R_T2,13,12/10/2015,12:40:05 PM,32.9236,16.046,12.40317911,
AR-364_DOMES_2015-12-10_R_T2,14,12/10/2015,12:40:06 PM,32.9994,16.046,12.45475794,
AR-364_DOMES_2015-12-10_R_T2,15,12/10/2015,12:40:07 PM,32.9771,16.046,12.43958369,
AR-364_DOMES_2015-12-10_R_T2,16,12/10/2015,12:40:08 PM,32.9459,16.046,12.41835336,
AR-364_DOMES_2015-12-10_R_T2,17,12/10/2015,12:40:09 PM,32.888,16.046,12.37895475,
AR-364_DOMES_2015-12-10_R_T2,18,12/10/2015,12:40:10 PM,32.8567,16.046,12.35765636,
AR-364_DOMES_2015-12-10_R_T2,19,12/10/2015,12:40:11 PM,32.8524,16.046,12.35473038,
AR-364_DOMES_2015-12-10_R_T2,20,12/10/2015,12:40:12 PM,32.8345,16.046,12.34255016,
AR-364_DOMES_2015-12-10_R_T2,21,12/10/2015,12:40:13 PM,32.8077,16.046,12.32431384,
AR-364_DOMES_2015-12-10_R_T2,22,12/10/2015,12:40:14 PM,32.7587,16.046,12.29097132,
AR-364_DOMES_2015-12-10_R_T2,23,12/10/2015,12:40:15 PM,32.7632,16.046,12.29403339,
AR-364_DOMES_2015-12-10_R_T2,24,12/10/2015,12:40:16 PM,32.8122,16.046,12.32737591,
AR-364_DOMES_2015-12-10_R_T2,25,12/10/2015,12:40:17 PM,32.8612,16.046,12.36071843,
AR-364_DOMES_2015-12-10_R_T2,26,12/10/2015,12:40:18 PM,32.9504,16.046,12.42141542,
AR-364_DOMES_2015-12-10_R_T2,27,12/10/2015,12:40:19 PM,33.0439,16.046,12.48503839,
AR-364_DOMES_2015-12-10_R_T2,28,12/10/2015,12:40:20 PM,33.0706,16.046,12.50320667,
