ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-364_TUGBOAT_2016-03-09_R_T2,6,3/9/2016,12:55:50 PM,33.0218,12.8830,12.4700,60
AR-364_TUGBOAT_2016-03-09_R_T2,7,3/9/2016,12:55:51 PM,33.2390,12.8830,12.6178,
AR-364_TUGBOAT_2016-03-09_R_T2,8,3/9/2016,12:55:52 PM,33.3063,12.8830,12.6636,
AR-364_TUGBOAT_2016-03-09_R_T2,9,3/9/2016,12:55:53 PM,33.2908,12.8830,12.6530,
AR-364_TUGBOAT_2016-03-09_R_T2,10,3/9/2016,12:55:54 PM,33.3374,12.8830,12.6848,
AR-364_TUGBOAT_2016-03-09_R_T2,11,3/9/2016,12:55:55 PM,33.2545,12.8830,12.6283,
AR-364_TUGBOAT_2016-03-09_R_T2,12,3/9/2016,12:55:56 PM,33.3115,12.8830,12.6671,
AR-364_TUGBOAT_2016-03-09_R_T2,13,3/9/2016,12:55:57 PM,33.1872,12.8830,12.5825,
AR-364_TUGBOAT_2016-03-09_R_T2,14,3/9/2016,12:55:58 PM,33.0994,12.8830,12.5228,
AR-364_TUGBOAT_2016-03-09_R_T2,15,3/9/2016,12:55:59 PM,33.0321,12.8830,12.4770,
AR-364_TUGBOAT_2016-03-09_R_T2,16,3/9/2016,12:56:00 PM,32.8872,12.8830,12.3784,
AR-364_TUGBOAT_2016-03-09_R_T2,17,3/9/2016,12:56:01 PM,32.7630,12.8830,12.2939,
AR-364_TUGBOAT_2016-03-09_R_T2,18,3/9/2016,12:56:02 PM,32.8613,12.8830,12.3608,
AR-364_TUGBOAT_2016-03-09_R_T2,19,3/9/2016,12:56:03 PM,33.2390,12.8830,12.6178,
AR-364_TUGBOAT_2016-03-09_R_T2,20,3/9/2016,12:56:04 PM,33.2753,12.8830,12.6425,
AR-364_TUGBOAT_2016-03-09_R_T2,21,3/9/2016,12:56:05 PM,33.1511,12.8830,12.5580,
AR-364_TUGBOAT_2016-03-09_R_T2,22,3/9/2016,12:56:06 PM,33.1096,12.8830,12.5297,
AR-364_TUGBOAT_2016-03-09_R_T2,23,3/9/2016,12:56:07 PM,33.1046,12.8830,12.5263,
AR-364_TUGBOAT_2016-03-09_R_T2,24,3/9/2016,12:56:08 PM,33.1925,12.8830,12.5862,
AR-364_TUGBOAT_2016-03-09_R_T2,25,3/9/2016,12:56:09 PM,33.2287,12.8830,12.6108,
AR-364_TUGBOAT_2016-03-09_R_T2,26,3/9/2016,12:56:10 PM,33.2235,12.8830,12.6072,
AR-364_TUGBOAT_2016-03-09_R_T2,27,3/9/2016,12:56:11 PM,33.1872,12.8830,12.5825,
AR-364_TUGBOAT_2016-03-09_R_T2,28,3/9/2016,12:56:12 PM,32.9545,12.8830,12.4242,
AR-364_TUGBOAT_2016-03-09_R_T2,29,3/9/2016,12:56:13 PM,32.9131,12.8830,12.3960,55
AR-364_TUGBOAT_2016-03-09_R_T2,33,3/9/2016,12:56:17 PM,32.8924,12.8830,12.3819,
AR-364_TUGBOAT_2016-03-09_R_T2,34,3/9/2016,12:56:18 PM,33.2650,12.8830,12.6355,
AR-364_TUGBOAT_2016-03-09_R_T2,35,3/9/2016,12:56:19 PM,33.2132,12.8830,12.6002,
AR-364_TUGBOAT_2016-03-09_R_T2,36,3/9/2016,12:56:20 PM,33.1046,12.8830,12.5263,
AR-364_TUGBOAT_2016-03-09_R_T2,37,3/9/2016,12:56:21 PM,33.0631,12.8830,12.4981,
AR-364_TUGBOAT_2016-03-09_R_T2,38,3/9/2016,12:56:22 PM,33.0115,12.8830,12.4630,
