ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-364_TUGBOAT_2016-03-09_S,10,3/9/2016,12:41:27 PM,32.6448,12.9800,12.2135,30
AR-364_TUGBOAT_2016-03-09_S,11,3/9/2016,12:41:28 PM,32.5982,12.9800,12.1818,
AR-364_TUGBOAT_2016-03-09_S,12,3/9/2016,12:41:29 PM,32.5930,12.9800,12.1782,
AR-364_TUGBOAT_2016-03-09_S,13,3/9/2016,12:41:30 PM,32.5982,12.9800,12.1818,
AR-364_TUGBOAT_2016-03-09_S,14,3/9/2016,12:41:31 PM,32.6655,12.9800,12.2276,
AR-364_TUGBOAT_2016-03-09_S,15,3/9/2016,12:41:32 PM,32.7897,12.9800,12.3121,
AR-364_TUGBOAT_2016-03-09_S,16,3/9/2016,12:41:33 PM,32.8828,12.9800,12.3754,
AR-364_TUGBOAT_2016-03-09_S,17,3/9/2016,12:41:34 PM,33.0690,12.9800,12.5021,
AR-364_TUGBOAT_2016-03-09_S,18,3/9/2016,12:41:35 PM,33.3070,12.9800,12.6641,
AR-364_TUGBOAT_2016-03-09_S,19,3/9/2016,12:41:36 PM,33.3899,12.9800,12.7205,
AR-364_TUGBOAT_2016-03-09_S,20,3/9/2016,12:41:37 PM,33.6279,12.9800,12.8824,
AR-364_TUGBOAT_2016-03-09_S,21,3/9/2016,12:41:38 PM,33.8347,12.9800,13.0231,
AR-364_TUGBOAT_2016-03-09_S,22,3/9/2016,12:41:39 PM,33.9588,12.9800,13.1076,
AR-364_TUGBOAT_2016-03-09_S,23,3/9/2016,12:41:40 PM,34.0572,12.9800,13.1745,
AR-364_TUGBOAT_2016-03-09_S,24,3/9/2016,12:41:41 PM,34.1037,12.9800,13.2062,
AR-364_TUGBOAT_2016-03-09_S,25,3/9/2016,12:41:42 PM,34.0675,12.9800,13.1816,
AR-364_TUGBOAT_2016-03-09_S,26,3/9/2016,12:41:43 PM,33.9588,12.9800,13.1076,
AR-364_TUGBOAT_2016-03-09_S,27,3/9/2016,12:41:44 PM,33.8347,12.9800,13.0231,
AR-364_TUGBOAT_2016-03-09_S,28,3/9/2016,12:41:45 PM,33.7675,12.9800,12.9774,
AR-364_TUGBOAT_2016-03-09_S,29,3/9/2016,12:41:46 PM,33.8089,12.9800,13.0056,
AR-364_TUGBOAT_2016-03-09_S,30,3/9/2016,12:41:47 PM,33.7520,12.9800,12.9669,
AR-364_TUGBOAT_2016-03-09_S,31,3/9/2016,12:41:48 PM,33.6071,12.9800,12.8683,
AR-364_TUGBOAT_2016-03-09_S,32,3/9/2016,12:41:49 PM,33.5451,12.9800,12.8261,
AR-364_TUGBOAT_2016-03-09_S,33,3/9/2016,12:41:50 PM,33.5864,12.9800,12.8542,
AR-364_TUGBOAT_2016-03-09_S,34,3/9/2016,12:41:51 PM,34.0985,12.9800,13.2027,
AR-364_TUGBOAT_2016-03-09_S,35,3/9/2016,12:41:52 PM,34.3571,12.9800,13.3786,
AR-364_TUGBOAT_2016-03-09_S,36,3/9/2016,12:41:53 PM,34.3676,12.9800,13.3858,
AR-364_TUGBOAT_2016-03-09_S,37,3/9/2016,12:41:54 PM,34.1813,12.9800,13.2590,
AR-364_TUGBOAT_2016-03-09_S,38,3/9/2016,12:41:55 PM,33.9899,12.9800,13.1288,
AR-364_TUGBOAT_2016-03-09_S,39,3/9/2016,12:41:56 PM,33.6640,12.9800,12.9070,25
AR-364_TUGBOAT_2016-03-09_S,45,3/9/2016,12:42:02 PM,33.5398,12.9800,12.8225,
AR-364_TUGBOAT_2016-03-09_S,46,3/9/2016,12:42:03 PM,33.5864,12.9800,12.8542,
AR-364_TUGBOAT_2016-03-09_S,47,3/9/2016,12:42:04 PM,33.4519,12.9800,12.7627,
AR-364_TUGBOAT_2016-03-09_S,48,3/9/2016,12:42:05 PM,33.1208,12.9800,12.5374,
AR-364_TUGBOAT_2016-03-09_S,49,3/9/2016,12:42:06 PM,33.1881,12.9800,12.5832,
AR-364_TUGBOAT_2016-03-09_S,50,3/9/2016,12:42:07 PM,33.1466,12.9800,12.5549,
AR-364_TUGBOAT_2016-03-09_S,51,3/9/2016,12:42:08 PM,33.0070,12.9800,12.4599,
AR-364_TUGBOAT_2016-03-09_S,52,3/9/2016,12:42:09 PM,32.8415,12.9800,12.3473,
AR-364_TUGBOAT_2016-03-09_S,53,3/9/2016,12:42:10 PM,32.8260,12.9800,12.3368,
AR-364_TUGBOAT_2016-03-09_S,54,3/9/2016,12:42:11 PM,32.8155,12.9800,12.3296,
AR-364_TUGBOAT_2016-03-09_S,55,3/9/2016,12:42:12 PM,32.6655,12.9800,12.2276,
AR-364_TUGBOAT_2016-03-09_S,56,3/9/2016,12:42:13 PM,32.7431,12.9800,12.2804,
AR-364_TUGBOAT_2016-03-09_S,57,3/9/2016,12:42:14 PM,32.7794,12.9800,12.3051,
AR-364_TUGBOAT_2016-03-09_S,58,3/9/2016,12:42:15 PM,32.7379,12.9800,12.2768,
AR-364_TUGBOAT_2016-03-09_S,59,3/9/2016,12:42:16 PM,32.9501,12.9800,12.4212,
AR-364_TUGBOAT_2016-03-09_S,60,3/9/2016,12:42:17 PM,33.4675,12.9800,12.7733,
AR-364_TUGBOAT_2016-03-09_S,61,3/9/2016,12:42:18 PM,33.7934,12.9800,12.9950,
AR-364_TUGBOAT_2016-03-09_S,62,3/9/2016,12:42:19 PM,34.0624,12.9800,13.1781,
AR-364_TUGBOAT_2016-03-09_S,63,3/9/2016,12:42:20 PM,34.1658,12.9800,13.2484,
AR-364_TUGBOAT_2016-03-09_S,64,3/9/2016,12:42:21 PM,34.4296,12.9800,13.4280,
