ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-370_LIBERTYSHIP_2015-12-09_R_T3,12,12/9/2015,2:55:17 PM,36.8816,16.427,15.09643813,90
AR-370_LIBERTYSHIP_2015-12-09_R_T3,13,12/9/2015,2:55:18 PM,36.7527,16.427,15.00872689,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,14,12/9/2015,2:55:19 PM,36.6236,16.427,14.92087956,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,15,12/9/2015,2:55:20 PM,36.6281,16.427,14.92394163,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,16,12/9/2015,2:55:21 PM,36.6592,16.427,14.94510392,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,17,12/9/2015,2:55:22 PM,36.7349,16.427,14.99661471,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,18,12/9/2015,2:55:23 PM,36.7616,16.427,15.01478298,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,19,12/9/2015,2:55:24 PM,36.7082,16.427,14.97844644,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,20,12/9/2015,2:55:25 PM,36.6637,16.427,14.94816599,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,21,12/9/2015,2:55:26 PM,36.6548,16.427,14.9421099,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,22,12/9/2015,2:55:27 PM,36.6992,16.427,14.97232231,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,23,12/9/2015,2:55:28 PM,36.7082,16.427,14.97844644,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,24,12/9/2015,2:55:29 PM,36.7037,16.427,14.97538437,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,25,12/9/2015,2:55:30 PM,36.6637,16.427,14.94816599,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,26,12/9/2015,2:55:31 PM,36.6858,16.427,14.96320415,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,27,12/9/2015,2:55:32 PM,36.7037,16.427,14.97538437,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,28,12/9/2015,2:55:33 PM,36.6592,16.427,14.94510392,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,29,12/9/2015,2:55:34 PM,36.6281,16.427,14.92394163,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,30,12/9/2015,2:55:35 PM,36.5703,16.427,14.88461107,85
AR-370_LIBERTYSHIP_2015-12-09_R_T3,37,12/9/2015,2:55:42 PM,36.7794,16.427,15.02689516,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,38,12/9/2015,2:55:43 PM,36.7394,16.427,14.99967678,
AR-370_LIBERTYSHIP_2015-12-09_R_T3,39,12/9/2015,2:55:44 PM,36.6637,16.427,14.94816599,
