ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-370_PIPES_2015-12-08_R_T1,12,12/8/2015,1:56:24 PM,37.2033,16.1410,15.3153,30
AR-370_PIPES_2015-12-08_R_T1,13,12/8/2015,1:56:25 PM,37.2077,16.1410,15.3183,
AR-370_PIPES_2015-12-08_R_T1,14,12/8/2015,1:56:26 PM,37.1410,16.1410,15.2729,
AR-370_PIPES_2015-12-08_R_T1,15,12/8/2015,1:56:27 PM,37.1009,16.1410,15.2457,
AR-370_PIPES_2015-12-08_R_T1,16,12/8/2015,1:56:28 PM,37.2611,16.1410,15.3547,
AR-370_PIPES_2015-12-08_R_T1,17,12/8/2015,1:56:29 PM,37.4302,16.1410,15.4697,
AR-370_PIPES_2015-12-08_R_T1,18,12/8/2015,1:56:30 PM,37.5368,16.1410,15.5423,
AR-370_PIPES_2015-12-08_R_T1,19,12/8/2015,1:56:31 PM,37.5591,16.1410,15.5574,
AR-370_PIPES_2015-12-08_R_T1,20,12/8/2015,1:56:32 PM,37.5279,16.1410,15.5362,
AR-370_PIPES_2015-12-08_R_T1,21,12/8/2015,1:56:33 PM,37.4569,16.1410,15.4879,
AR-370_PIPES_2015-12-08_R_T1,22,12/8/2015,1:56:34 PM,37.3545,16.1410,15.4182,
AR-370_PIPES_2015-12-08_R_T1,23,12/8/2015,1:56:35 PM,37.2834,16.1410,15.3698,
AR-370_PIPES_2015-12-08_R_T1,24,12/8/2015,1:56:36 PM,37.2656,16.1410,15.3577,
AR-370_PIPES_2015-12-08_R_T1,25,12/8/2015,1:56:37 PM,37.2611,16.1410,15.3547,
AR-370_PIPES_2015-12-08_R_T1,26,12/8/2015,1:56:38 PM,37.2789,16.1410,15.3668,
AR-370_PIPES_2015-12-08_R_T1,27,12/8/2015,1:56:39 PM,37.3635,16.1410,15.4244,
AR-370_PIPES_2015-12-08_R_T1,28,12/8/2015,1:56:40 PM,37.4479,16.1410,15.4818,
AR-370_PIPES_2015-12-08_R_T1,29,12/8/2015,1:56:41 PM,37.5057,16.1410,15.5211,
AR-370_PIPES_2015-12-08_R_T1,30,12/8/2015,1:56:42 PM,37.4612,16.1410,15.4908,
AR-370_PIPES_2015-12-08_R_T1,31,12/8/2015,1:56:43 PM,37.3456,16.1410,15.4122,
AR-370_PIPES_2015-12-08_R_T1,32,12/8/2015,1:56:44 PM,37.2077,16.1410,15.3183,
AR-370_PIPES_2015-12-08_R_T1,33,12/8/2015,1:56:45 PM,37.1855,16.1410,15.3032,
AR-370_PIPES_2015-12-08_R_T1,34,12/8/2015,1:56:46 PM,37.2744,16.1410,15.3637,
AR-370_PIPES_2015-12-08_R_T1,35,12/8/2015,1:56:47 PM,37.2033,16.1410,15.3153,25
AR-370_PIPES_2015-12-08_R_T1,41,12/8/2015,1:56:53 PM,36.9408,16.1410,15.1367,
AR-370_PIPES_2015-12-08_R_T1,42,12/8/2015,1:56:54 PM,37.1009,16.1410,15.2457,
AR-370_PIPES_2015-12-08_R_T1,43,12/8/2015,1:56:55 PM,37.3101,16.1410,15.3880,
AR-370_PIPES_2015-12-08_R_T1,44,12/8/2015,1:56:56 PM,37.4390,16.1410,15.4757,
AR-370_PIPES_2015-12-08_R_T1,45,12/8/2015,1:56:57 PM,37.4879,16.1410,15.5090,
AR-370_PIPES_2015-12-08_R_T1,46,12/8/2015,1:56:58 PM,37.4569,16.1410,15.4879,
AR-370_PIPES_2015-12-08_R_T1,47,12/8/2015,1:56:59 PM,37.4168,16.1410,15.4606,
AR-370_PIPES_2015-12-08_R_T1,48,12/8/2015,1:57:00 PM,37.3635,16.1410,15.4244,
AR-370_PIPES_2015-12-08_R_T1,49,12/8/2015,1:57:01 PM,37.3189,16.1410,15.3940,
AR-370_PIPES_2015-12-08_R_T1,50,12/8/2015,1:57:02 PM,37.2077,16.1410,15.3183,
AR-370_PIPES_2015-12-08_R_T1,51,12/8/2015,1:57:03 PM,37.1099,16.1410,15.2518,
AR-370_PIPES_2015-12-08_R_T1,52,12/8/2015,1:57:04 PM,37.1366,16.1410,15.2700,
AR-370_PIPES_2015-12-08_R_T1,53,12/8/2015,1:57:05 PM,37.2300,16.1410,15.3335,
AR-370_PIPES_2015-12-08_R_T1,54,12/8/2015,1:57:06 PM,37.3901,16.1410,15.4425,
AR-370_PIPES_2015-12-08_R_T1,55,12/8/2015,1:57:07 PM,37.4657,16.1410,15.4939,
AR-370_PIPES_2015-12-08_R_T1,56,12/8/2015,1:57:08 PM,37.4612,16.1410,15.4908,
AR-370_PIPES_2015-12-08_R_T1,57,12/8/2015,1:57:09 PM,37.3768,16.1410,15.4334,
AR-370_PIPES_2015-12-08_R_T1,58,12/8/2015,1:57:10 PM,37.2300,16.1410,15.3335,
AR-370_PIPES_2015-12-08_R_T1,59,12/8/2015,1:57:11 PM,37.0743,16.1410,15.2276,
AR-370_PIPES_2015-12-08_R_T1,60,12/8/2015,1:57:12 PM,36.9453,16.1410,15.1398,
AR-370_PIPES_2015-12-08_R_T1,61,12/8/2015,1:57:13 PM,36.9542,16.1410,15.1458,20
AR-370_PIPES_2015-12-08_R_T1,67,12/8/2015,1:57:19 PM,37.2344,16.1410,15.3365,
AR-370_PIPES_2015-12-08_R_T1,68,12/8/2015,1:57:20 PM,37.0698,16.1410,15.2245,
AR-370_PIPES_2015-12-08_R_T1,69,12/8/2015,1:57:21 PM,36.9853,16.1410,15.1670,
AR-370_PIPES_2015-12-08_R_T1,70,12/8/2015,1:57:22 PM,37.0297,16.1410,15.1972,
AR-370_PIPES_2015-12-08_R_T1,71,12/8/2015,1:57:23 PM,37.1321,16.1410,15.2669,
AR-370_PIPES_2015-12-08_R_T1,72,12/8/2015,1:57:24 PM,37.2122,16.1410,15.3214,
AR-370_PIPES_2015-12-08_R_T1,73,12/8/2015,1:57:25 PM,37.3056,16.1410,15.3850,
AR-370_PIPES_2015-12-08_R_T1,74,12/8/2015,1:57:26 PM,37.4035,16.1410,15.4516,
AR-370_PIPES_2015-12-08_R_T1,75,12/8/2015,1:57:27 PM,37.4035,16.1410,15.4516,
AR-370_PIPES_2015-12-08_R_T1,76,12/8/2015,1:57:28 PM,37.3056,16.1410,15.3850,
AR-370_PIPES_2015-12-08_R_T1,77,12/8/2015,1:57:29 PM,37.1366,16.1410,15.2700,
AR-370_PIPES_2015-12-08_R_T1,78,12/8/2015,1:57:30 PM,36.9720,16.1410,15.1580,
AR-370_PIPES_2015-12-08_R_T1,79,12/8/2015,1:57:31 PM,36.9141,16.1410,15.1186,
AR-370_PIPES_2015-12-08_R_T1,80,12/8/2015,1:57:32 PM,36.9942,16.1410,15.1731,
AR-370_PIPES_2015-12-08_R_T1,81,12/8/2015,1:57:33 PM,37.1943,16.1410,15.3092,
AR-370_PIPES_2015-12-08_R_T1,82,12/8/2015,1:57:34 PM,37.4078,16.1410,15.4545,
AR-370_PIPES_2015-12-08_R_T1,83,12/8/2015,1:57:35 PM,37.5279,16.1410,15.5362,
AR-370_PIPES_2015-12-08_R_T1,84,12/8/2015,1:57:36 PM,37.4969,16.1410,15.5151,
AR-370_PIPES_2015-12-08_R_T1,85,12/8/2015,1:57:37 PM,37.3101,16.1410,15.3880,
AR-370_PIPES_2015-12-08_R_T1,86,12/8/2015,1:57:38 PM,37.0921,16.1410,15.2397,
AR-370_PIPES_2015-12-08_R_T1,87,12/8/2015,1:57:39 PM,36.9809,16.1410,15.1640,
AR-370_PIPES_2015-12-08_R_T1,88,12/8/2015,1:57:40 PM,36.9809,16.1410,15.1640,15
AR-370_PIPES_2015-12-08_R_T1,94,12/8/2015,1:57:46 PM,37.0521,16.1410,15.2125,
