ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m
AR-372_TRAINCARS_2015-09-03_S,15,9/3/2015,10:37:32 AM,38.7029,27.6650,16.3358,30
AR-372_TRAINCARS_2015-09-03_S,16,9/3/2015,10:37:33 AM,38.7548,27.6650,16.3711,
AR-372_TRAINCARS_2015-09-03_S,17,9/3/2015,10:37:34 AM,38.7185,27.6650,16.3464,
AR-372_TRAINCARS_2015-09-03_S,18,9/3/2015,10:37:35 AM,38.7236,27.6650,16.3498,
AR-372_TRAINCARS_2015-09-03_S,19,9/3/2015,10:37:36 AM,38.7288,27.6650,16.3534,
AR-372_TRAINCARS_2015-09-03_S,20,9/3/2015,10:37:37 AM,38.7806,27.6650,16.3886,
AR-372_TRAINCARS_2015-09-03_S,21,9/3/2015,10:37:38 AM,38.8169,27.6650,16.4133,
AR-372_TRAINCARS_2015-09-03_S,22,9/3/2015,10:37:39 AM,38.7961,27.6650,16.3992,
AR-372_TRAINCARS_2015-09-03_S,23,9/3/2015,10:37:40 AM,38.8117,27.6650,16.4098,
AR-372_TRAINCARS_2015-09-03_S,24,9/3/2015,10:37:41 AM,38.7391,27.6650,16.3604,
AR-372_TRAINCARS_2015-09-03_S,25,9/3/2015,10:37:42 AM,38.7703,27.6650,16.3816,
AR-372_TRAINCARS_2015-09-03_S,26,9/3/2015,10:37:43 AM,38.8066,27.6650,16.4063,
AR-372_TRAINCARS_2015-09-03_S,27,9/3/2015,10:37:44 AM,38.8273,27.6650,16.4204,
AR-372_TRAINCARS_2015-09-03_S,28,9/3/2015,10:37:45 AM,38.8739,27.6650,16.4521,
AR-372_TRAINCARS_2015-09-03_S,29,9/3/2015,10:37:46 AM,38.9049,27.6650,16.4732,
AR-372_TRAINCARS_2015-09-03_S,30,9/3/2015,10:37:47 AM,38.9568,27.6650,16.5085,
AR-372_TRAINCARS_2015-09-03_S,31,9/3/2015,10:37:48 AM,38.9827,27.6650,16.5262,
AR-372_TRAINCARS_2015-09-03_S,32,9/3/2015,10:37:49 AM,39.0500,27.6650,16.5719,
AR-372_TRAINCARS_2015-09-03_S,33,9/3/2015,10:37:50 AM,39.0914,27.6650,16.6001,
AR-372_TRAINCARS_2015-09-03_S,34,9/3/2015,10:37:51 AM,39.0967,27.6650,16.6037,
AR-372_TRAINCARS_2015-09-03_S,35,9/3/2015,10:37:52 AM,39.0967,27.6650,16.6037,
AR-372_TRAINCARS_2015-09-03_S,36,9/3/2015,10:37:53 AM,39.0707,27.6650,16.5860,
AR-372_TRAINCARS_2015-09-03_S,37,9/3/2015,10:37:54 AM,39.1226,27.6650,16.6213,
AR-372_TRAINCARS_2015-09-03_S,38,9/3/2015,10:37:55 AM,39.2054,27.6650,16.6777,
AR-372_TRAINCARS_2015-09-03_S,39,9/3/2015,10:37:56 AM,39.2107,27.6650,16.6813,
AR-372_TRAINCARS_2015-09-03_S,40,9/3/2015,10:37:57 AM,39.3350,27.6650,16.7659,
AR-372_TRAINCARS_2015-09-03_S,41,9/3/2015,10:37:58 AM,39.3245,27.6650,16.7587,
AR-372_TRAINCARS_2015-09-03_S,42,9/3/2015,10:37:59 AM,39.3608,27.6650,16.7834,
AR-372_TRAINCARS_2015-09-03_S,43,9/3/2015,10:38:00 AM,39.4385,27.6650,16.8363,
AR-372_TRAINCARS_2015-09-03_S,44,9/3/2015,10:38:01 AM,39.4696,27.6650,16.8575,
AR-372_TRAINCARS_2015-09-03_S,45,9/3/2015,10:38:02 AM,39.4851,27.6650,16.8680,
AR-372_TRAINCARS_2015-09-03_S,46,9/3/2015,10:38:03 AM,39.5058,27.6650,16.8821,
AR-372_TRAINCARS_2015-09-03_S,47,9/3/2015,10:38:04 AM,39.5058,27.6650,16.8821,
AR-372_TRAINCARS_2015-09-03_S,48,9/3/2015,10:38:05 AM,39.5058,27.6650,16.8821,
AR-372_TRAINCARS_2015-09-03_S,49,9/3/2015,10:38:06 AM,39.2987,27.6650,16.7412,
AR-372_TRAINCARS_2015-09-03_S,50,9/3/2015,10:38:07 AM,39.0086,27.6650,16.5438,
AR-372_TRAINCARS_2015-09-03_S,51,9/3/2015,10:38:08 AM,39.1122,27.6650,16.6143,
AR-372_TRAINCARS_2015-09-03_S,52,9/3/2015,10:38:09 AM,39.1432,27.6650,16.6354,
AR-372_TRAINCARS_2015-09-03_S,53,9/3/2015,10:38:10 AM,39.1432,27.6650,16.6354,
AR-372_TRAINCARS_2015-09-03_S,54,9/3/2015,10:38:11 AM,39.1692,27.6650,16.6531,
AR-372_TRAINCARS_2015-09-03_S,55,9/3/2015,10:38:12 AM,39.2572,27.6650,16.7129,
AR-372_TRAINCARS_2015-09-03_S,56,9/3/2015,10:38:13 AM,39.3039,27.6650,16.7447,
AR-372_TRAINCARS_2015-09-03_S,57,9/3/2015,10:38:14 AM,39.2935,27.6650,16.7376,
AR-372_TRAINCARS_2015-09-03_S,58,9/3/2015,10:38:15 AM,39.3970,27.6650,16.8081,
AR-372_TRAINCARS_2015-09-03_S,59,9/3/2015,10:38:16 AM,39.4075,27.6650,16.8152,
AR-372_TRAINCARS_2015-09-03_S,60,9/3/2015,10:38:17 AM,39.3867,27.6650,16.8011,
AR-372_TRAINCARS_2015-09-03_S,61,9/3/2015,10:38:18 AM,39.3453,27.6650,16.7729,
AR-372_TRAINCARS_2015-09-03_S,62,9/3/2015,10:38:19 AM,39.3920,27.6650,16.8047,
AR-372_TRAINCARS_2015-09-03_S,63,9/3/2015,10:38:20 AM,39.2572,27.6650,16.7129,
AR-372_TRAINCARS_2015-09-03_S,64,9/3/2015,10:38:21 AM,39.1744,27.6650,16.6566,
AR-372_TRAINCARS_2015-09-03_S,65,9/3/2015,10:38:22 AM,39.4126,27.6650,16.8187,25
AR-372_TRAINCARS_2015-09-03_S,77,9/3/2015,10:38:34 AM,39.5110,27.6650,16.8856,
AR-372_TRAINCARS_2015-09-03_S,78,9/3/2015,10:38:35 AM,39.5110,27.6650,16.8856,
AR-372_TRAINCARS_2015-09-03_S,79,9/3/2015,10:38:36 AM,39.4955,27.6650,16.8751,
