ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m,
AR-378_PIPES_2016-01-21_R_T2,8,1/21/2016,9:54:39 AM,31.8368,12.1100,11.6637,60,
AR-378_PIPES_2016-01-21_R_T2,9,1/21/2016,9:54:40 AM,31.8011,12.1100,11.6394,,
AR-378_PIPES_2016-01-21_R_T2,10,1/21/2016,9:54:41 AM,31.8280,12.1100,11.6577,,
AR-378_PIPES_2016-01-21_R_T2,11,1/21/2016,9:54:42 AM,31.8546,12.1100,11.6758,,
AR-378_PIPES_2016-01-21_R_T2,12,1/21/2016,9:54:43 AM,31.7878,12.1100,11.6303,,
AR-378_PIPES_2016-01-21_R_T2,13,1/21/2016,9:54:44 AM,31.8725,12.1100,11.6879,,
AR-378_PIPES_2016-01-21_R_T2,14,1/21/2016,9:54:45 AM,31.9348,12.1100,11.7303,,
AR-378_PIPES_2016-01-21_R_T2,15,1/21/2016,9:54:46 AM,31.8680,12.1100,11.6849,,
AR-378_PIPES_2016-01-21_R_T2,16,1/21/2016,9:54:47 AM,31.7923,12.1100,11.6334,,
AR-378_PIPES_2016-01-21_R_T2,17,1/21/2016,9:54:48 AM,31.8190,12.1100,11.6515,,
AR-378_PIPES_2016-01-21_R_T2,18,1/21/2016,9:54:49 AM,31.8635,12.1100,11.6818,,
AR-378_PIPES_2016-01-21_R_T2,19,1/21/2016,9:54:50 AM,31.8368,12.1100,11.6637,,
AR-378_PIPES_2016-01-21_R_T2,20,1/21/2016,9:54:51 AM,31.8056,12.1100,11.6424,,
AR-378_PIPES_2016-01-21_R_T2,21,1/21/2016,9:54:52 AM,31.7878,12.1100,11.6303,,
AR-378_PIPES_2016-01-21_R_T2,22,1/21/2016,9:54:53 AM,31.7744,12.1100,11.6212,,
AR-378_PIPES_2016-01-21_R_T2,23,1/21/2016,9:54:54 AM,31.8680,12.1100,11.6849,,
AR-378_PIPES_2016-01-21_R_T2,24,1/21/2016,9:54:55 AM,31.8591,12.1100,11.6788,,
AR-378_PIPES_2016-01-21_R_T2,25,1/21/2016,9:54:56 AM,31.8770,12.1100,11.6910,,
AR-378_PIPES_2016-01-21_R_T2,26,1/21/2016,9:54:57 AM,31.8903,12.1100,11.7001,,
AR-378_PIPES_2016-01-21_R_T2,27,1/21/2016,9:54:58 AM,31.9260,12.1100,11.7244,,
AR-378_PIPES_2016-01-21_R_T2,28,1/21/2016,9:54:59 AM,31.9215,12.1100,11.7213,,
AR-378_PIPES_2016-01-21_R_T2,29,1/21/2016,9:55:00 AM,31.8725,12.1100,11.6879,55,
AR-378_PIPES_2016-01-21_R_T2,8,1/21/2016,9:55:08 AM,31.8190,12.1100,11.6515,,
AR-378_PIPES_2016-01-21_R_T2,9,1/21/2016,9:55:09 AM,31.8458,12.1100,11.6698,,
AR-378_PIPES_2016-01-21_R_T2,10,1/21/2016,9:55:10 AM,31.7656,12.1100,11.6152,,
AR-378_PIPES_2016-01-21_R_T2,11,1/21/2016,9:55:11 AM,31.8056,12.1100,11.6424,,
AR-378_PIPES_2016-01-21_R_T2,12,1/21/2016,9:55:12 AM,31.8501,12.1100,11.6727,,
AR-378_PIPES_2016-01-21_R_T2,13,1/21/2016,9:55:13 AM,31.9037,12.1100,11.7092,,
AR-378_PIPES_2016-01-21_R_T2,14,1/21/2016,9:55:14 AM,31.7878,12.1100,11.6303,,
AR-378_PIPES_2016-01-21_R_T2,15,1/21/2016,9:55:15 AM,31.8056,12.1100,11.6424,,
AR-378_PIPES_2016-01-21_R_T2,16,1/21/2016,9:55:16 AM,31.8413,12.1100,11.6667,,
AR-378_PIPES_2016-01-21_R_T2,17,1/21/2016,9:55:17 AM,31.7699,12.1100,11.6181,,
AR-378_PIPES_2016-01-21_R_T2,18,1/21/2016,9:55:18 AM,31.6364,12.1100,11.5273,,
AR-378_PIPES_2016-01-21_R_T2,19,1/21/2016,9:55:19 AM,31.7522,12.1100,11.6061,,
AR-378_PIPES_2016-01-21_R_T2,20,1/21/2016,9:55:20 AM,31.7254,12.1100,11.5879,,
AR-378_PIPES_2016-01-21_R_T2,21,1/21/2016,9:55:21 AM,31.6630,12.1100,11.5454,,
AR-378_PIPES_2016-01-21_R_T2,22,1/21/2016,9:55:22 AM,31.6942,12.1100,11.5666,,
AR-378_PIPES_2016-01-21_R_T2,23,1/21/2016,9:55:23 AM,31.7834,12.1100,11.6273,,
AR-378_PIPES_2016-01-21_R_T2,24,1/21/2016,9:55:24 AM,31.8458,12.1100,11.6698,,
AR-378_PIPES_2016-01-21_R_T2,25,1/21/2016,9:55:25 AM,31.8368,12.1100,11.6637,,
AR-378_PIPES_2016-01-21_R_T2,26,1/21/2016,9:55:26 AM,31.8680,12.1100,11.6849,,
AR-378_PIPES_2016-01-21_R_T2,27,1/21/2016,9:55:27 AM,31.8858,12.1100,11.6970,,
AR-378_PIPES_2016-01-21_R_T2,33,1/21/2016,9:55:33 AM,31.8770,12.1100,11.6910,50,
AR-378_PIPES_2016-01-21_R_T2,34,1/21/2016,9:55:34 AM,31.9125,12.1100,11.7152,,
AR-378_PIPES_2016-01-21_R_T2,35,1/21/2016,9:55:35 AM,31.7923,12.1100,11.6334,,
AR-378_PIPES_2016-01-21_R_T2,36,1/21/2016,9:55:36 AM,31.7656,12.1100,11.6152,,
AR-378_PIPES_2016-01-21_R_T2,37,1/21/2016,9:55:37 AM,31.8011,12.1100,11.6394,,
AR-378_PIPES_2016-01-21_R_T2,38,1/21/2016,9:55:38 AM,31.7522,12.1100,11.6061,,
AR-378_PIPES_2016-01-21_R_T2,39,1/21/2016,9:55:39 AM,31.6007,12.1100,11.5030,,
AR-378_PIPES_2016-01-21_R_T2,40,1/21/2016,9:55:40 AM,31.5428,12.1100,11.4636,,
AR-378_PIPES_2016-01-21_R_T2,41,1/21/2016,9:55:41 AM,31.7032,12.1100,11.5727,,
AR-378_PIPES_2016-01-21_R_T2,42,1/21/2016,9:55:42 AM,31.7878,12.1100,11.6303,,
