"ID","Site","Subsite","Date","Transect_Type","Transect_Number","Temp_avg","Temp_max","Temp_min"
"AR-330_BARGE_2015-08-20_R_T1","330","BARGE","2015-08-20","Radiating",1,27.272,27.272,27.272
"AR-330_BARGE_2015-08-20_R_T2","330","BARGE","2015-08-20","Radiating",2,27.272,27.272,27.272
"AR-330_BARGE_2015-08-20_S","330","BARGE","2015-08-20","Structural",0,27.272,27.272,27.272
"AR-330_BARGE_2015-09-08_R_T1","330","BARGE","2015-09-08","Radiating",1,27.665,27.665,27.665
"AR-330_BARGE_2015-09-08_R_T2","330","BARGE","2015-09-08","Radiating",2,27.665,27.665,27.665
"AR-330_BARGE_2015-09-08_R_T3","330","BARGE","2015-09-08","Radiating",3,27.665,27.665,27.665
"AR-330_BARGE_2015-09-08_S","330","BARGE","2015-09-08","Structural",0,27.665,27.665,27.665
"AR-330_BARGE_2015-12-11_R_T1","330","BARGE","2015-12-11","Radiating",1,18.0785294117647,18.14,18.045
"AR-330_BARGE_2015-12-11_S","330","BARGE","2015-12-11","Structural",0,18.045,18.045,18.045
"AR-330_BARGE_2016-04-26_R_T1","330","BARGE","2016-04-26","Radiating",1,16.9002058823529,16.903,16.808
"AR-330_BARGE_2016-04-26_R_T2","330","BARGE","2016-04-26","Radiating",2,16.903,16.903,16.903
"AR-330_BARGE_2016-04-26_R_T3","330","BARGE","2016-04-26","Radiating",3,16.903,16.903,16.903
"AR-330_BARGE_2016-04-26_S","330","BARGE","2016-04-26","Structural",0,16.903,16.903,16.903
"AR-330_H-UNITS_2015-09-08_S","330","H-UNITS","2015-09-08","Structural",0,27.665,27.665,27.665
"AR-330_H-UNITS_2016-01-15_R_T1","330","H-UNITS","2016-01-15","Radiating",1,13.846,13.846,13.846
"AR-330_H-UNITS_2016-01-15_R_T2","330","H-UNITS","2016-01-15","Radiating",2,13.846,13.846,13.846
"AR-330_H-UNITS_2016-01-15_R_T3","330","H-UNITS","2016-01-15","Radiating",3,13.846,13.846,13.846
"AR-330_H-UNITS_2016-01-15_S","330","H-UNITS","2016-01-15","Structural",0,13.8396,13.846,13.75
"AR-330_INDRA_2015-07-27_S","330","INDRA","2015-07-27","Structural",0,25.6208967391304,26,25.513
"AR-330_INDRA_2015-08-20_S","330","INDRA","2015-08-20","Structural",0,27.272,27.272,27.272
"AR-330_INDRA_2015-09-08_R_T1","330","INDRA","2015-09-08","Radiating",1,27.583,27.665,27.567
"AR-330_INDRA_2015-09-08_R_T2","330","INDRA","2015-09-08","Radiating",2,27.5904647887324,27.665,27.567
"AR-330_INDRA_2015-09-08_R_T3","330","INDRA","2015-09-08","Radiating",3,27.6607621621622,27.665,27.567
"AR-330_INDRA_2015-09-08_S","330","INDRA","2015-09-08","Structural",0,27.6182947658402,27.665,27.567
"AR-330_INDRA_2015-12-11_R_T1","330","INDRA","2015-12-11","Radiating",1,18.045,18.045,18.045
"AR-330_INDRA_2015-12-11_R_T2","330","INDRA","2015-12-11","Radiating",2,18.045,18.045,18.045
"AR-330_INDRA_2015-12-11_R_T3","330","INDRA","2015-12-11","Radiating",3,18.045,18.045,18.045
"AR-330_INDRA_2015-12-11_S","330","INDRA","2015-12-11","Structural",0,18.045,18.045,18.045
